name_en,name_de,set,number,type,energy_type,hp,rarity,image_url,international_prints,jp_prints,cardmarket_url,card_text,card_text_de
Foongus,Tarnpignon,JTG,10,Basic,Grass,50,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_010_R_EN_LG.png,JTG-10,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Foongus-JTG010?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,G Spore Ball 10 || Your opponent's Active Pokémon is now Asleep. || Weakness: Fire Resistance: none Retreat: 1,G Sporenbällchen 10 || Das Aktive Pokémon deines Gegners schläft jetzt.
Amoonguss ex,Hutsassa-ex,JTG,11,Stage 1,Grass,260,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_011_R_EN_LG.png,JTG-11,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Amoonguss-ex-JTG011?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"G Spore Ball 30 || Your opponent's Active Pokémon is now Asleep. || GC Champignon's Swing 100+ || Flip a coin. If heads, this attack does 80 more damage. || Weakness: Fire Resistance: none Retreat: 2",G Sporenbällchen 30 || Das Aktive Pokémon deines Gegners schläft jetzt. || GC Champignonschwinger 100+ || Wirf 1 Münze. Bei Kopf fügt diese Attacke 80 Schadenspunkte mehr zu.
Shelmet,Schnuthelm,JTG,12,Basic,Grass,70,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_012_R_EN_LG.png,JTG-12,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Shelmet-JTG012?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"GC Shell Smack 20 || Flip a coin. If heads, during your opponent's next turn, prevent all damage done to this Pokémon by attacks. || Weakness: Fire Resistance: none Retreat: 3","GC Muschelklaps 20 || Wirf 1 Münze. Verhindere bei Kopf während des nächsten Zuges deines Gegners allen Schaden, der diesem Pokémon durch Attacken zugefügt wird."
Accelgor,Hydragil,JTG,13,Stage 1,Grass,100,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_013_R_EN_LG.png,JTG-13,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Accelgor-JTG013?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,GC Poisonous Ploy 70 || Your opponent's Active Pokémon is now Confused and Poisoned. Switch this Pokémon with 1 of your Benched Pokémon. || Weakness: Fire Resistance: none Retreat: 1,GC Giftige List 70 || Das Aktive Pokémon deines Gegners ist jetzt verwirrt und vergiftet. Tausche dieses Pokémon gegen 1 Pokémon auf deiner Bank aus.
Durant,Fermicula,JTG,14,Basic,Grass,90,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_014_R_EN_LG.png,JTG-14,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Durant-JTG014?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"GC Crunch 50 || Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon. || Weakness: Fire Resistance: none Retreat: 1",GC Knirscher 50 || Wirf 1 Münze. Lege bei Kopf 1 Energie vom Aktiven Pokémon deines Gegners auf seinen Ablagestapel.
Virizion,Viridium,JTG,15,Basic,Grass,120,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_015_R_EN_LG.png,JTG-15,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Virizion-JTG015?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,GC Leaf Drain 30 || Heal 30 damage from this Pokémon. || GCC Slicing Blade 100 || Weakness: Fire Resistance: none Retreat: 1,GC Blattsauger 30 || Heile 30 Schadenspunkte bei diesem Pokémon. || GCC Schwertschneide 100
Sprigatito,Felori,JTG,16,Basic,Grass,60,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_016_R_EN_LG.png,JTG-16,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Sprigatito-JTG016?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,C Tons of Treading 10× || Flip 3 coins. This attack does 10 damage for each heads. || Weakness: Fire Resistance: none Retreat: 1,C Tüchtiges Treteln 10× || Wirf 3 Münzen. Diese Attacke fügt 10 Schadenspunkte pro Kopf zu.
Floragato,Feliospa,JTG,17,Stage 1,Grass,90,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_017_R_EN_LG.png,JTG-17,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Floragato-JTG017?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"CC Magical Leaf 30+ || Flip a coin. If heads, this attack does 30 more damage, and heal 30 damage from this Pokémon. || Weakness: Fire Resistance: none Retreat: 1","CC Zauberblatt 30+ || Wirf 1 Münze. Bei Kopf fügt diese Attacke 30 Schadenspunkte mehr zu, und du heilst 30 Schadenspunkte bei diesem Pokémon."
Meowscarada,Maskagato,JTG,18,Stage 2,Grass,160,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_018_R_EN_LG.png,JTG-18,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Meowscarada-JTG018?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"[Ability] Showtime || Once during your turn, if this Pokémon is on your Bench, you may switch it with your Active Pokémon. || CC Rising Bloom 90+ || If your opponent's Active Pokémon is a Pokémon ex, this attack does 90 more damage. || Weakness: Fire Resistance: none Retreat: 1","[Ability] Showtime || Einmal während deines Zuges, wenn sich dieses Pokémon auf deiner Bank befindet, kannst du es gegen dein Aktives Pokémon austauschen. || CC Aufblühen 90+ || Wenn das Aktive Pokémon deines Gegners ein Pokémon-ex ist, fügt diese Attacke 90 Schadenspunkte mehr zu."
Nymble,Micrick,JTG,19,Basic,Grass,50,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_019_R_EN_LG.png,JTG-19,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Nymble-JTG019?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,C Rear Kick 20 || Weakness: Fire Resistance: none Retreat: 1,C Rückwärtskick 20
Magmar,Magmar,JTG,20,Basic,Fire,80,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_020_R_EN_LG.png,JTG-20,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Magmar-JTG020?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"RC Searing Flame 30 || Flip a coin. If heads, your opponent's Active Pokémon is now Burned. || Weakness: Water Resistance: none Retreat: 2",RC Sengende Flammen 30 || Wirf 1 Münze. Bei Kopf ist das Aktive Pokémon deines Gegners jetzt verbrannt.
Magmortar,Magbrant,JTG,21,Stage 1,Fire,130,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_021_R_EN_LG.png,JTG-21,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Magmortar-JTG021?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"[Ability] Magma Surge || During Pokémon Checkup, put 3 more damage counters on your opponent's Burned Pokémon. || RRC Searing Flame 90 || Flip a coin. If heads, your opponent's Active Pokémon is now Burned. || Weakness: Water Resistance: none Retreat: 2",[Ability] Magmawoge || Lege beim Pokémon-Check 3 Schadensmarken mehr auf die verbrannten Pokémon deines Gegners. || RRC Sengende Flammen 90 || Wirf 1 Münze. Bei Kopf ist das Aktive Pokémon deines Gegners jetzt verbrannt.
Torchic,Flemmli,JTG,22,Basic,Fire,60,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_022_R_EN_LG.png,JTG-22,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Torchic-JTG022?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,RC Scratch 30 || Weakness: Water Resistance: none Retreat: 1,RC Kratzer 30
Combusken,Jungglut,JTG,23,Stage 1,Fire,90,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_023_R_EN_LG.png,JTG-23,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Combusken-JTG023?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,RC Slash 50 || Weakness: Water Resistance: none Retreat: 2,RC Schlitzer 50
Blaziken ex,Lohgock-ex,JTG,24,Stage 2,Fire,320,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_024_R_EN_LG.png,JTG-24,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Blaziken-ex-JTG024?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"[Ability] Seething Spirit || Once during your turn, you may attach a Basic Energy card from your discard pile to 1 of your Pokémon. || RC Smolder-sault 200 || During your next turn, this Pokémon can't attack. || Weakness: Water Resistance: none Retreat: 2",[Ability] Brodelnder Kampfgeist || Einmal während deines Zuges kannst du 1 Basis-Energiekarte aus deinem Ablagestapel an 1 deiner Pokémon anlegen. || RC Feuerflugrolle 200 || Während deines nächsten Zuges kann dieses Pokémon nicht angreifen.
Torkoal,Qurtel,JTG,25,Basic,Fire,130,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_025_R_EN_LG.png,JTG-25,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Torkoal-JTG025?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,R Live Coal 20 || RRC Heat Blast 110 || Weakness: Water Resistance: none Retreat: 3,R Glühende Kohlen 20 || RRC Hitzestoß 110
N's Darumaka,Ns Flampion,JTG,26,Basic,Fire,80,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_026_R_EN_LG.png,"ASC-32,JTG-26",,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Ns-Darumaka-JTG026?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,CC Rolling Tackle 20 || RRC Flare 50 || Weakness: Water Resistance: none Retreat: 2,CC Rolltackle 20 || RRC Flackern 50
N's Darmanitan,Ns Flampivian,JTG,27,Stage 1,Fire,140,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_027_R_EN_LG.png,"ASC-33,JTG-27,SVP-181",,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Ns-Darmanitan-JTG027?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"CC Back Draft 30× || This attack does 30 damage for each Basic Energy card in your opponent's discard pile. || RRC Flamebody Cannon 90 || Discard all Energy from this Pokémon, and this attack also does 90 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) || Weakness: Water Resistance: none Retreat: 3","CC Backdraft 30× || Diese Attacke fügt für jede Basis-Energiekarte im Ablagestapel deines Gegners 30 Schadenspunkte zu. || RRC Flammenkörperkanone 90 || Lege alle Energien von diesem Pokémon auf deinen Ablagestapel, und diese Attacke fügt auch 1 Pokémon auf der Bank deines Gegners 90 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokémon auf der Bank nicht an.)"
Larvesta,Ignivor,JTG,28,Basic,Fire,80,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_028_R_EN_LG.png,JTG-28,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Larvesta-JTG028?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,C Will-O-Wisp 10 || Weakness: Water Resistance: none Retreat: 2,C Irrlicht 10
Volcarona,Ramoth,JTG,29,Stage 1,Fire,140,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_029_R_EN_LG.png,JTG-29,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Volcarona-JTG029?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,RC Smoldering Scales 80 || Weakness: Water Resistance: none Retreat: 2,RC Glühender Flügelstaub 80
Reshiram ex,Reshiram-ex,JTG,30,Basic,Fire,220,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_030_R_EN_LG.png,JTG-30,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Reshiram-ex-JTG030?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,R Fire Wing 40 || RRC Scorching Fire 200 || Discard an Energy from this Pokémon. || Weakness: Water Resistance: none Retreat: 2,R Feuerflügel 40 || RRC Versengendes Feuer 200 || Lege 1 Energie von diesem Pokémon auf deinen Ablagestapel.
Volcanion ex,Volcanion-ex,JTG,31,Basic,Fire,220,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_031_R_EN_LG.png,"JTG-171,JTG-182,JTG-31",,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Volcanion-ex-V1-JTG031?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"[Ability] Scalding Steam || Once during your turn, if this Pokémon is in the Active Spot, you may make your opponent's Active Pokémon Burned. || RRC Scorching Cyclone 160 || Move an Energy from this Pokémon to 1 of your Benched Pokémon. || Weakness: Water Resistance: none Retreat: 3","[Ability] Siedender Dampf || Einmal während deines Zuges, wenn dieses Pokémon in der Aktiven Position ist, kannst du das Aktive Pokémon deines Gegners verbrennen. || RRC Versengender Wirbel 160 || Verschiebe 1 Energie von diesem Pokémon auf 1 Pokémon auf deiner Bank."
Articuno,Arktos,JTG,32,Basic,Water,110,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_032_R_EN_LG.png,"JTG-161,JTG-32",,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Articuno-V1-JTG032?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"C Frigid Fluttering || Search your deck for up to 2 Basic [ W ] Energy cards and attach them to this Pokémon. Then, shuffle your deck. || WWC Ice Blast 110 || Weakness: Lightning Resistance: Fighting Retreat: 1",C Frostiges Flattern || Durchsuche dein Deck nach bis zu 2 Basis- [ W ] -Energiekarten und lege sie an dieses Pokémon an. Mische anschließend dein Deck. || WWC Eis-Blaster 110
Remoraid,Remoraid,JTG,33,Basic,Water,60,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_033_R_EN_LG.png,JTG-33,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Remoraid-JTG033?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,W Flail 10× || This attack does 10 damage for each damage counter on this Pokémon. || CC Rain Splash 20 || Weakness: Lightning Resistance: none Retreat: 1,W Dreschflegel 10× || Diese Attacke fügt für jede Schadensmarke auf diesem Pokémon 10 Schadenspunkte zu. || CC Regenplatscher 20
Octillery,Octillery,JTG,34,Stage 1,Water,110,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_034_R_EN_LG.png,JTG-34,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Octillery-JTG034?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,W Aqua Wash 20 || You may put an Energy attached to your opponent's Active Pokémon into their hand. || WCC Octo Beatdown 90× || Flip a coin until you get tails. This attack does 90 damage for each heads. || Weakness: Lightning Resistance: none Retreat: 2,"W Aquawäsche 20 || Du kannst deinem Gegner 1 an sein Aktives Pokémon angelegte Energie auf seine Hand geben. || WCC Octoprügel 90× || Wirf so lange 1 Münze, bis sie Zahl zeigt. Diese Attacke fügt 90 Schadenspunkte pro Kopf zu."
Lotad,Loturzel,JTG,35,Basic,Water,60,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_035_R_EN_LG.png,JTG-35,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Lotad-JTG035?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,W Water Gun 20 || Weakness: Lightning Resistance: none Retreat: 1,W Aquaknarre 20
Lombre,Lombrero,JTG,36,Stage 1,Water,90,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_036_R_EN_LG.png,JTG-36,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Lombre-JTG036?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"WW Aqua Slash 70 || During your next turn, this Pokémon can't attack. || Weakness: Lightning Resistance: none Retreat: 1",WW Aquaschlag 70 || Während deines nächsten Zuges kann dieses Pokémon nicht angreifen.
Ludicolo,Kappalores,JTG,37,Stage 2,Water,140,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_037_R_EN_LG.png,JTG-37,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Ludicolo-JTG037?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,[Ability] Vibrant Dance || All of your Pokémon in play get +40 HP. The effect of Vibrant Dance doesn't stack. || WWC Hydro Splash 130 || Weakness: Lightning Resistance: none Retreat: 2,[Ability] Lebhafter Tanz || Alle deine Pokémon im Spiel erhalten +40 KP. Der Effekt von Lebhafter Tanz stapelt sich nicht. || WWC Hydroplatscher 130
Wingull,Wingull,JTG,38,Basic,Water,60,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_038_R_EN_LG.png,JTG-38,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Wingull-JTG038?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,C Flap 20 || Weakness: Lightning Resistance: Fighting Retreat: 1,C Flattern 20
Pelipper,Pelipper,JTG,39,Stage 1,Water,120,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_039_R_EN_LG.png,JTG-39,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Pelipper-JTG039?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,C Spit Up 30 || WC Speed Dive 70 || Weakness: Lightning Resistance: Fighting Retreat: 2,C Entfessler 30 || WC Tempohechtsprung 70
Wailmer,Wailmer,JTG,40,Basic,Water,130,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_040_R_EN_LG.png,JTG-40,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Wailmer-JTG040?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,CCC Surf 60 || Weakness: Lightning Resistance: none Retreat: 3,CCC Surfer 60
Wailord,Wailord,JTG,41,Stage 1,Water,240,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_041_R_EN_LG.png,"JTG-162,JTG-41",,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Wailord-V1-JTG041?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,CCCC Hydro Pump 10+ || This attack does 50 more damage for each [ W ] Energy attached to this Pokémon. || Weakness: Lightning Resistance: none Retreat: 4,CCCC Hydropumpe 10+ || Diese Attacke fügt für jede an dieses Pokémon angelegte [ W ] -Energie 50 Schadenspunkte mehr zu.
Regice,Regice,JTG,42,Basic,Water,120,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_042_R_EN_LG.png,JTG-42,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Regice-JTG042?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,WC Icicle 30 || WCC Blizzard 90 || This attack also does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) || Weakness: Metal Resistance: none Retreat: 3,WC Eiszapfen 30 || WCC Blizzard 90 || Diese Attacke fügt auch jedem Pokémon auf der Bank deines Gegners 10 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokémon auf der Bank nicht an.)
Veluza ex,Agiluza-ex,JTG,43,Basic,Water,210,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_043_R_EN_LG.png,JTG-43,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Veluza-ex-JTG043?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"W Razor Fin 30 || WWC Purging Strike 120+ || You may discard your hand. If you discarded any cards in this way, this attack does 120 more damage. || Weakness: Lightning Resistance: none Retreat: 1","W Rasierflosse 30 || WWC Abwurftreffer 120+ || Du kannst deine Handkarten auf deinen Ablagestapel legen. Wenn du auf diese Weise mindestens 1 Karte auf deinen Ablagestapel gelegt hast, fügt diese Attacke 120 Schadenspunkte mehr zu."
Alolan Geodude,Alola-Kleinstein,JTG,44,Basic,Lightning,60,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_044_R_EN_LG.png,JTG-44,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Alolan-Geodude-JTG044?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,C Knuckle Punch 10 || LC Tiny Charge 30 || Weakness: Fighting Resistance: none Retreat: 2,C Knöchelhieb 10 || LC Mini-Stromstoß 30
Alolan Graveler,Alola-Georok,JTG,45,Stage 1,Lightning,100,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_045_R_EN_LG.png,JTG-45,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Alolan-Graveler-JTG045?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,C Rolling Tackle 30 || LC Electric Punch 50 || Weakness: Fighting Resistance: none Retreat: 3,C Rolltackle 30 || LC Elektroschlag 50
Alolan Golem,Alola-Geowaz,JTG,46,Stage 2,Lightning,180,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_046_R_EN_LG.png,JTG-46,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Alolan-Golem-JTG046?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,L Electromagnetic Catapult 70× || Flip a coin until you get tails. This attack does 70 damage for each heads. || LC Megaton Fall 160 || This Pokémon also does 40 damage to itself. || Weakness: Fighting Resistance: none Retreat: 4,"L Elektromagnetisches Katapult 70× || Wirf so lange 1 Münze, bis sie Zahl zeigt. Diese Attacke fügt 70 Schadenspunkte pro Kopf zu. || LC Megatonnenfall 160 || Dieses Pokémon fügt auch sich selbst 40 Schadenspunkte zu."
Iono's Voltorb,Enigmaras Voltobal,JTG,47,Basic,Lightning,70,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_047_R_EN_LG.png,JTG-47,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Ionos-Voltorb-JTG047?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,CC Voltaic Chain 20+ || This attack does 20 more damage for each [ L ] Energy attached to all of your Iono's Pokémon. || Weakness: Fighting Resistance: none Retreat: 1,CC Voltaische Kette 20+ || Diese Attacke fügt für jede an alle deine Enigmaras Pokémon angelegte [ L ] -Energie 20 Schadenspunkte mehr zu.
Iono's Electrode,Enigmaras Lektrobal,JTG,48,Stage 1,Lightning,100,Uncommon,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_048_R_EN_LG.png,JTG-48,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Ionos-Electrode-JTG048?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"LL Thump-Thump Boom || This Pokémon does 100 damage to itself. Flip a coin. If heads, your opponent's Active Pokémon is Knocked Out. || LLC Electric Ball 100 || Weakness: Fighting Resistance: none Retreat: 0",LL Tick-Tick-Bumm || Dieses Pokémon fügt sich selbst 100 Schadenspunkte zu. Wirf 1 Münze. Bei Kopf ist das Aktive Pokémon deines Gegners kampfunfähig. || LLC Stromball 100
N's Joltik,Ns Wattzapf,JTG,49,Basic,Lightning,40,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_049_R_EN_LG.png,JTG-49,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Ns-Joltik-JTG049?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"CC Zapping Short 30 || Before doing damage, discard all Pokémon Tools from your opponent's Active Pokémon. If you discarded a Pokémon Tool in this way, your opponent's Active Pokémon is now Paralyzed. || Weakness: Fighting Resistance: none Retreat: 1","CC Kurzschlussknall 30 || Bevor du Schaden zufügst, lege alle Pokémon-Ausrüstungen vom Aktiven Pokémon deines Gegners auf seinen Ablagestapel. Wenn du auf diese Weise mindestens 1 Pokémon-Ausrüstung auf seinen Ablagestapel gelegt hast, ist das Aktive Pokémon deines Gegners jetzt paralysiert."
Togedemaru,Togedemaru,JTG,50,Basic,Lightning,80,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_050_R_EN_LG.png,JTG-50,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Togedemaru-JTG050?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"LC Toge Spark 40 || Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon. || Weakness: Fighting Resistance: none Retreat: 1","LC Toge-Funke 40 || Wirf 1 Münze. Verhindere bei Kopf während des nächsten Zuges deines Gegners allen Schaden durch und alle Effekte von Attacken, die diesem Pokémon zugefügt werden."
Tapu Koko ex,Kapu-Riki-ex,JTG,51,Basic,Lightning,200,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_051_R_EN_LG.png,JTG-51,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Tapu-Koko-ex-JTG051?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,LC Linked Lightning 60+ || This attack does 20 more damage for each of your Benched Pokémon. || Weakness: Fighting Resistance: none Retreat: 0,LC Verbundener Blitz 60+ || Diese Attacke fügt für jedes Pokémon auf deiner Bank 20 Schadenspunkte mehr zu.
Iono's Tadbulb,Enigmaras Blipp,JTG,52,Basic,Lightning,60,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_052_R_EN_LG.png,"ASC-69,JTG-52",,https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Ionos-Tadbulb-JTG052?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,LC Tiny Charge 30 || Weakness: Fighting Resistance: none Retreat: 2,LC Mini-Stromstoß 30
