set,number,name,eur_price,status,current_product_id,current_product_name,resolved_product_id,resolved_product_name,card_text,candidates
UNM,63,Tynamo,"0,10€",already-correct,388137,Tynamo [Wild River],388137,Tynamo [Wild River],Wild River,2
UPR,80,Magnemite,"0,10€",already-correct,316007,Magnemite [Searching Magnet | Tackle],316007,Magnemite [Searching Magnet | Tackle],Searching Magnet Tackle,2
UPR,96,Gible,"0,10€",already-correct,316022,Gible [Ascension],316022,Gible [Ascension],Ascension,2
SSH,46,Goldeen,"0,09€",already-correct,436384,Goldeen [Collect | Waterfall],436384,Goldeen [Collect | Waterfall],Collect Waterfall,2
ASR,5,Scyther,"0,08€",already-correct,658493,Scyther [Quick Blow],658493,Scyther [Quick Blow],Quick Blow,2
RCL,21,Applin,"0,08€",already-correct,457563,Applin [Withdraw],457563,Applin [Withdraw],Withdraw,2
SSH,10,Grookey,"0,08€",already-correct,436229,Grookey [Fury Swipes],436229,Grookey [Fury Swipes],Fury Swipes,2
SSH,38,Sizzlipede,"0,08€",already-correct,436344,Sizzlipede [Relentless Flames],436344,Sizzlipede [Relentless Flames],Relentless Flames,2
SVI,147,Zangoose,"0,08€",already-correct,702443,Zangoose [Drag Off | Slashing Claw],702443,Zangoose [Drag Off | Slashing Claw],Drag Off Slashing Claw,2
SVI,21,Smoliv,"0,08€",already-correct,702317,Smoliv [Nutrients | Spray Fluid],702317,Smoliv [Nutrients | Spray Fluid],Nutrients Spray Fluid,2
ASR,4,Scyther,"0,07€",already-correct,658491,Scyther [Blinding Scythe],658491,Scyther [Blinding Scythe],Blinding Scythe,2
BKT,89,Zorua,"0,07€",already-correct,286335,Zorua [Moonless Madness | Dark Edge],286335,Zorua [Moonless Madness | Dark Edge],Moonless Madness Dark Edge,2
CRZ,42,Luxio,"0,07€",already-correct,691759,Luxio [Shorting Spark | Bite],691759,Luxio [Shorting Spark | Bite],Shorting Spark Bite,2
FLI,46,Honedge,"0,07€",already-correct,355565,Honedge [Final Hour | Slash],355565,Honedge [Final Hour | Slash],Final Hour Slash,2
OBF,126,Paldean Wooper,"0,07€",already-correct,725206,Paldean Wooper [Spit Poison],725206,Paldean Wooper [Spit Poison],Spit Poison,2
OBF,127,Paldean Wooper,"0,07€",already-correct,725207,Paldean Wooper [Flop],725207,Paldean Wooper [Flop],Flop,2
PAR,154,Tandemaus,"0,07€",already-correct,740694,Tandemaus [Tumble Over],740694,Tandemaus [Tumble Over],Tumble Over,2
SSH,108,Silicobra,"0,07€",already-correct,436659,Silicobra [Headbutt | Tail Whap],436659,Silicobra [Headbutt | Tail Whap],Headbutt Tail Whap,2
CES,11,Seedot,"0,06€",already-correct,361258,Seedot [Hang Down | Harden],361258,Seedot [Hang Down | Harden],Hang Down Harden,2
CRZ,40,Shinx,"0,06€",already-correct,691757,Shinx [Thunder Jolt],691757,Shinx [Thunder Jolt],Thunder Jolt,2
FST,106,Toxel,"0,06€",already-correct,582499,Toxel [Growl | Tiny Bolt],582499,Toxel [Growl | Tiny Bolt],Growl Tiny Bolt,2
OBF,61,Finizen,"0,06€",already-correct,725141,Finizen [Tail Smack],725141,Finizen [Tail Smack],Tail Smack,2
PAL,103,Tinkatuff,"0,06€",already-correct,715578,Tinkatuff [Light Punch | Boundless Power],715578,Tinkatuff [Light Punch | Boundless Power],Light Punch Boundless Power,3
PAL,141,Maschiff,"0,06€",already-correct,715616,Maschiff [Ambush],715616,Maschiff [Ambush],Ambush,3
RCL,20,Applin,"0,06€",already-correct,457558,Applin [Continuous Tumble],457558,Applin [Continuous Tumble],Continuous Tumble,2
SSH,32,Raboot,"0,06€",already-correct,436319,Raboot [Flame Charge | Magnum Kick],436319,Raboot [Flame Charge | Magnum Kick],Flame Charge Magnum Kick,2
SSH,33,Raboot,"0,06€",already-correct,436324,Raboot [Kick | Heat Blast],436324,Raboot [Kick | Heat Blast],Kick Heat Blast,2
SSH,37,Sizzlipede,"0,06€",already-correct,436339,Sizzlipede [Bite | Combustion],436339,Sizzlipede [Bite | Combustion],Bite Combustion,2
SVI,30,Growlithe,"0,06€",already-correct,702326,Growlithe [Relentless Flames],702326,Growlithe [Relentless Flames],Relentless Flames,2
SVI,31,Growlithe,"0,06€",already-correct,702327,Growlithe [Stoke | Fire Claws],702327,Growlithe [Stoke | Fire Claws],Stoke Fire Claws,2
CRZ,41,Luxio,"0,05€",already-correct,691758,Luxio [Jumping Kick | Head Bolt],691758,Luxio [Jumping Kick | Head Bolt],Jumping Kick Head Bolt,2
FCO,40,Larvitar,"0,05€",already-correct,290534,Larvitar [Reckless Charge],290534,Larvitar [Reckless Charge],Reckless Charge,2
FLI,5,Scatterbug,"0,05€",already-correct,355526,Scatterbug [Abnormal Outbreak | Tackle],355526,Scatterbug [Abnormal Outbreak | Tackle],Abnormal Outbreak Tackle,2
FST,105,Toxel,"0,05€",already-correct,582498,Toxel [Ram],582498,Toxel [Ram],Ram,2
FST,47,Sizzlipede,"0,05€",already-correct,582181,Sizzlipede [Singe],582181,Sizzlipede [Singe],Singe,2
OBF,183,Oinkologne,"0,05€",already-correct,725263,Oinkologne [Confounding Cologne | High-Impact Kick],725263,Oinkologne [Confounding Cologne | High-Impact Kick],Confounding Cologne High-Impact Kick,2
OBF,184,Oinkologne,"0,05€",already-correct,725264,Oinkologne [Finest Selection | Perfume Press],725264,Oinkologne [Finest Selection | Perfume Press],Finest Selection Perfume Press,2
OBF,60,Finizen,"0,05€",already-correct,725140,Finizen [Valiant Evolution | Razor Fin],725140,Finizen [Valiant Evolution | Razor Fin],Valiant Evolution Razor Fin,2
OBF,75,Tadbulb,"0,05€",already-correct,725155,Tadbulb [Thunder Jolt],725155,Tadbulb [Thunder Jolt],Thunder Jolt,3
PAL,102,Tinkatink,"0,05€",already-correct,715577,Tinkatink [Brutal Swing],715577,Tinkatink [Brutal Swing],Brutal Swing,4
PAR,133,Doublade,"0,05€",already-correct,740671,Doublade [Swords Dance | Slicing Blade],740671,Doublade [Swords Dance | Slicing Blade],Swords Dance Slicing Blade,3
PAR,153,Tandemaus,"0,05€",already-correct,740693,Tandemaus [Damage Rush],740693,Tandemaus [Damage Rush],Damage Rush,2
PAR,51,Wiglett,"0,05€",already-correct,740539,Wiglett [Fury Headbutt],740539,Wiglett [Fury Headbutt],Fury Headbutt,2
PAR,52,Wiglett,"0,05€",already-correct,740542,Wiglett [Vibration],740542,Wiglett [Vibration],Vibration,2
SVI,112,Riolu,"0,05€",already-correct,702408,Riolu [Jab | Low Kick],702408,Riolu [Jab | Low Kick],Jab Low Kick,3
SVI,141,Varoom,"0,05€",already-correct,702436,Varoom [Hammer In],702436,Varoom [Hammer In],Hammer In,2
SVI,20,Smoliv,"0,05€",already-correct,702316,Smoliv [Tackle],702316,Smoliv [Tackle],Tackle,2
SVI,25,Toedscool,"0,05€",already-correct,702321,Toedscool [Spore | Ram],702321,Toedscool [Spore | Ram],Spore Ram,3
ASR,89,Hisuian Qwilfish,"0,04€",already-correct,658710,Hisuian Qwilfish [Spiny Rush],658710,Hisuian Qwilfish [Spiny Rush],Spiny Rush,2
CRZ,39,Shinx,"0,04€",already-correct,691756,Shinx [Rear Kick],691756,Shinx [Rear Kick],Rear Kick,2
PAL,100,Tinkatink,"0,04€",already-correct,715575,Tinkatink [Collect | Corkscrew Punch],715575,Tinkatink [Collect | Corkscrew Punch],Collect Corkscrew Punch,4
PAL,77,Tadbulb,"0,04€",already-correct,715552,Tadbulb [Thunder Wave],715552,Tadbulb [Thunder Wave],Thunder Wave,2
PAL,78,Tadbulb,"0,04€",already-correct,715553,Tadbulb [Stampede | Static Shock],715553,Tadbulb [Stampede | Static Shock],Stampede Static Shock,2
PAR,102,Nacli,"0,04€",already-correct,740616,Nacli [Corner],740616,Nacli [Corner],Corner,2
PAR,82,Tinkatink,"0,04€",already-correct,740574,Tinkatink [Mountain Scrounging | Mumble],740574,Tinkatink [Mountain Scrounging | Mumble],Mountain Scrounging Mumble,2
PAR,83,Tinkatink,"0,04€",already-correct,740575,Tinkatink [Boundless Power],740575,Tinkatink [Boundless Power],Boundless Power,2
SSP,101,Paldean Tauros,"0,04€",already-correct,794418,Paldean Tauros [Smash Kick | Blocking Stomp],794418,Paldean Tauros [Smash Kick | Blocking Stomp],Smash Kick Blocking Stomp,3
SSP,89,Oricorio,"0,04€",already-correct,794397,Oricorio [Energy Assist | Dazzle Dance],794397,Oricorio [Energy Assist | Dazzle Dance],Energy Assist Dazzle Dance,2
TWM,21,Poltchageist,"0,04€",already-correct,769195,Poltchageist [Tea Server | Surprise Attack],769195,Poltchageist [Tea Server | Surprise Attack],Tea Server Surprise Attack,3
ASR,88,Hisuian Qwilfish,"0,03€",already-correct,658709,Hisuian Qwilfish [Ram | Rolling Tackle],658709,Hisuian Qwilfish [Ram | Rolling Tackle],Ram Rolling Tackle,2
CRI,31,Deoxys,"0,03€",already-correct,886423,Deoxys [Genome Charge | Psychic],886423,Deoxys [Genome Charge | Psychic],Genome Charge Psychic,4
LOR,121,Inkay,"0,03€",already-correct,674134,Inkay [Call for Family | Tackle],674134,Inkay [Call for Family | Tackle],Call for Family Tackle,2
PAR,101,Nacli,"0,03€",already-correct,740615,Nacli [Rock Throw | Stone Edge],740615,Nacli [Rock Throw | Stone Edge],Rock Throw Stone Edge,2
PAR,13,Nymble,"0,03€",already-correct,740489,Nymble [Gnaw],740489,Nymble [Gnaw],Gnaw,2
PAR,14,Nymble,"0,03€",already-correct,740490,Nymble [Flop],740490,Nymble [Flop],Flop,2
PAR,25,Charcadet,"0,03€",already-correct,740501,Charcadet [Protect | Magma Punch],740501,Charcadet [Protect | Magma Punch],Protect Magma Punch,3
PAR,87,Gimmighoul,"0,03€",already-correct,740579,Gimmighoul [Call for Family | Corkscrew Punch],740579,Gimmighoul [Call for Family | Corkscrew Punch],Call for Family Corkscrew Punch,3
SSP,39,Paldean Tauros,"0,03€",already-correct,794305,Paldean Tauros [Upthrusting Horns | Jet Headbutt],794305,Paldean Tauros [Upthrusting Horns | Jet Headbutt],Upthrusting Horns Jet Headbutt,3
SVI,140,Varoom,"0,03€",already-correct,702435,Varoom [Poison Gas],702435,Varoom [Poison Gas],Poison Gas,2
LOR,77,Inkay,"0,02€",already-correct,674090,Inkay [Fickle Attack],674090,Inkay [Fickle Attack],Fickle Attack,2
PAR,47,Wimpod,"0,02€",already-correct,740527,Wimpod [Hide | Gnaw],740527,Wimpod [Hide | Gnaw],Hide Gnaw,3
SSH,54,Sobble,"0,02€",already-correct,436414,Sobble [Water Gun],436414,Sobble [Water Gun],Water Gun,2
SSP,18,Paldean Tauros,"0,02€",already-correct,794273,Paldean Tauros [Rear Kick | Spirited Tackle],794273,Paldean Tauros [Rear Kick | Spirited Tackle],Rear Kick Spirited Tackle,3
UNB,9,Venonat,"0,02€",already-correct,372302,Venonat [Radar Eyes | Flop],372302,Venonat [Radar Eyes | Flop],Radar Eyes Flop,2
N2,32,Umbreon,"255,45€",correction,274524,Umbreon [Bite | Feint Attack],274543,Umbreon [Quick Attack | Pursuit],Quick Attack Pursuit,2
SVP,200,Eevee,"217,98€",correction,806407,Eevee [Boosted Evolution | Reckless Charge],826138,Eevee [Call for Family | Gnaw],Call for Family Gnaw,4
NP,16,Treecko,"182,73€",correction,275480,Treecko [Tail Slap | Razor Leaf],275489,Treecko [Pound | Sporadic Sponging],Pound Sporadic Sponging,3
N1,18,Typhlosion,"159,23€",correction,274417,Typhlosion [Fire Recharge | Flame Burst],274418,Typhlosion [Fire Boost | Flame Wheel],Fire Boost Flame Wheel,2
E2,148,Kingdra,"156,26€",correction,275056,Kingdra [Water Cyclone | Rapids],275224,Kingdra [Crystal Type | Aquabomb | Dual Burn],Crystal Type Aquabomb Dual Burn,3
N3,17,Entei,"149,54€",correction,274592,Entei [Howl | Searing Flames],274603,Entei [Legendary Body | Mega Flame],Legendary Body Mega Flame,2
SVP,148,Miraidon,"147,62€",correction,692234,Miraidon [Sharp Fang | Lightning Laser],769427,Miraidon [Electric Claws | Mach Bolt],Electric Claws Mach Bolt,5
N1,11,Meganium,"73,46€",correction,274410,Meganium [Herbal Scent | Body Slam],274411,Meganium [Wild Growth | Soothing Scent],Wild Growth Soothing Scent,2
SP,234,Pikachu,"64,65€",correction,461594,Pikachu [Iron Tail | Electro Ball],653698,Pikachu [Gift Delivery | Pika Ball],Gift Delivery Pika Ball,5
SP,285,Pikachu V,"64,45€",correction,576744,Pikachu V [Volt Tackle],692429,Pikachu V [Pika Drive],Pika Drive,8
WP,27,Pikachu,"53,60€",correction,275445,Pikachu [Scratch | Thunderbolt],275446,Pikachu [Thundershock | Agility],Thundershock Agility,4
N2,13,Umbreon,"48,58€",correction,274543,Umbreon [Quick Attack | Pursuit],274524,Umbreon [Bite | Feint Attack],Bite Feint Attack,2
N1,10,Meganium,"47,68€",correction,274411,Meganium [Wild Growth | Soothing Scent],274410,Meganium [Herbal Scent | Body Slam],Herbal Scent Body Slam,2
SVP,95,Cleffa,"38,75€",correction,761128,Cleffa [Grasping Draw],751816,Cleffa [Twinkling Hope],Twinkling Hope,3
SVP,88,Pikachu,"37,27€",correction,740411,Pikachu [Scrappy Spark],751813,Pikachu [Growl | Pika Bolt],Growl Pika Bolt,10
WP,12,Mewtwo,"33,69€",correction,275422,Mewtwo [Energy Absorption | Psyburn],275431,Mewtwo [Energy Control | Telekinesis],Energy Control Telekinesis,3
UF,Z,Unown,"26,57€",correction,276646,Unown [?] [Shuffle | Hidden Power],276639,Unown [Z] [Shuffle | Hidden Power],Shuffle Hidden Power Z,28
UF,Y,Unown,"25,27€",correction,276638,Unown [!] [Shuffle | Hidden Power],276640,Unown [Y] [Shuffle | Hidden Power],Shuffle Hidden Power Y,28
SVP,121,Revavroom,"22,08€",correction,761122,Revavroom [Rumbling Engine | Knock Away],769421,Revavroom [Swagger | Huge Tackle],Swagger Huge Tackle,3
SP,119,Snorlax,"21,63€",correction,516339,Snorlax [Gormandize | Body Slam],557976,Snorlax [Slap Push | Single Strike Tackle],Slap Push Single Strike Tackle,3
E1,36,Blastoise,"20,47€",correction,274912,Blastoise [Jet Stream | Energy Cannon],274911,Blastoise [Bubble | Double Cannon],Bubble Double Cannon,3
E1,132,Squirtle,"19,68€",correction,275006,Squirtle [Wave Splash | Doubleslap],275007,Squirtle [Headbutt | Bubblebeam],Headbutt Bubblebeam,2
UF,X,Unown,"19,24€",correction,276631,Unown [I] [Shuffle | Hidden Power],276637,Unown [X] [Shuffle | Hidden Power],Shuffle Hidden Power X,28
UF,W,Unown,"18,91€",correction,276636,Unown [V] [Shuffle | Hidden Power],276635,Unown [W] [Shuffle | Hidden Power],Shuffle Hidden Power W,28
WP,26,Pikachu,"18,63€",correction,275420,Pikachu [Growl | Thundershock],275445,Pikachu [Scratch | Thunderbolt],Scratch Thunderbolt,4
UF,V,Unown,"17,82€",correction,276620,Unown [A] [Shuffle | Hidden Power],276636,Unown [V] [Shuffle | Hidden Power],Shuffle Hidden Power V,28
E1,67,Venusaur,"17,63€",correction,274943,Venusaur [Harvest Bounty | Body Slam],274942,Venusaur [Leech Seed | Fury Strikes],Leech Seed Fury Strikes,4
UF,U,Unown,"17,00€",correction,276628,Unown [D] [Shuffle | Hidden Power],276642,Unown [U] [Shuffle | Hidden Power],Shuffle Hidden Power U,28
SP,162,Mewtwo V-UNION,"16,91€",correction,572159,Mewtwo V-UNION [Union Gain],572162,Mewtwo V-UNION [Photon Barrier | Final Burn],Photon Barrier Final Burn,5
DX,18,Deoxys,"16,23€",correction,276419,Deoxys [Form Change | Link Blast],276421,Deoxys [Form Change | Barrier Attack],Form Change Barrier Attack,5
UF,T,Unown,"15,79€",correction,276640,Unown [Y] [Shuffle | Hidden Power],276645,Unown [T] [Shuffle | Hidden Power],Shuffle Hidden Power T,28
SVP,161,Charizard ex,"15,71€",correction,740401,Charizard ex [Infernal Reign | Burning Darkness],791830,Charizard ex [Brave Wing | Explosive Vortex],Brave Wing Explosive Vortex,5
UF,S,Unown,"15,32€",correction,276632,Unown [H] [Shuffle | Hidden Power],276644,Unown [S] [Shuffle | Hidden Power],Shuffle Hidden Power S,28
SP,161,Mewtwo V-UNION,"15,27€",correction,572162,Mewtwo V-UNION [Photon Barrier | Final Burn],572161,Mewtwo V-UNION [Psysplosion],Psysplosion,5
UF,R,Unown,"14,76€",correction,276644,Unown [S] [Shuffle | Hidden Power],276643,Unown [R] [Shuffle | Hidden Power],Shuffle Hidden Power R,28
UF,Q,Unown,"14,66€",correction,276645,Unown [T] [Shuffle | Hidden Power],276641,Unown [Q] [Shuffle | Hidden Power],Shuffle Hidden Power Q,28
BCR,33,Psyduck,"14,06€",correction,280619,Psyduck [Dazzle Dance],280620,Psyduck [Firefighting],Firefighting,2
UF,P,Unown,"13,41€",correction,276642,Unown [U] [Shuffle | Hidden Power],276633,Unown [P] [Shuffle | Hidden Power],Shuffle Hidden Power P,28
DEX,61,Umbreon,"12,99€",correction,280388,Umbreon [Shadow Drain | Slashing Strike],280389,Umbreon [Confuse Ray | Shadow Shutdown],Confuse Ray Shadow Shutdown,3
UF,O,Unown,"12,84€",correction,276619,Unown [B] [Shuffle | Hidden Power],276623,Unown [O] [Shuffle | Hidden Power],Shuffle Hidden Power O,28
UF,N,Unown,"12,76€",correction,276627,Unown [E] [Shuffle | Hidden Power],276624,Unown [N] [Shuffle | Hidden Power],Shuffle Hidden Power N,28
UF,M,Unown,"12,58€",correction,276634,Unown [L] [Shuffle | Hidden Power],276622,Unown [M] [Shuffle | Hidden Power],Shuffle Hidden Power M,28
UF,L,Unown,"12,54€",correction,276633,Unown [P] [Shuffle | Hidden Power],276634,Unown [L] [Shuffle | Hidden Power],Shuffle Hidden Power L,28
UF,K,Unown,"12,17€",correction,276630,Unown [G] [Shuffle | Hidden Power],276621,Unown [K] [Shuffle | Hidden Power],Shuffle Hidden Power K,28
SP,159,Mewtwo V-UNION,"11,99€",correction,572161,Mewtwo V-UNION [Psysplosion],572159,Mewtwo V-UNION [Union Gain],Union Gain,5
UF,J,Unown,"11,75€",correction,276625,Unown [C] [Shuffle | Hidden Power],276626,Unown [J] [Shuffle | Hidden Power],Shuffle Hidden Power J,28
UF,I,Unown,"11,64€",correction,276643,Unown [R] [Shuffle | Hidden Power],276631,Unown [I] [Shuffle | Hidden Power],Shuffle Hidden Power I,28
E1,131,Squirtle,"11,55€",correction,275007,Squirtle [Headbutt | Bubblebeam],275006,Squirtle [Wave Splash | Doubleslap],Wave Splash Doubleslap,2
SP,158,Greninja V-UNION,"11,36€",correction,572155,Greninja V-UNION [Union Gain],572158,Greninja V-UNION [Feel the Way | Waterfall Bind],Feel the Way Waterfall Bind,5
UF,H,Unown,"11,36€",correction,276637,Unown [X] [Shuffle | Hidden Power],276632,Unown [H] [Shuffle | Hidden Power],Shuffle Hidden Power H,28
UF,G,Unown,"11,14€",correction,276624,Unown [N] [Shuffle | Hidden Power],276630,Unown [G] [Shuffle | Hidden Power],Shuffle Hidden Power G,28
UF,F,Unown,"10,67€",correction,276622,Unown [M] [Shuffle | Hidden Power],276629,Unown [F] [Shuffle | Hidden Power],Shuffle Hidden Power F,28
E3,115,Weedle,"10,65€",correction,275373,Weedle [Fury Attack],275372,Weedle [Entangling Thread | Poison Horn],Entangling Thread Poison Horn,2
E3,114,Weedle,"10,38€",correction,275372,Weedle [Entangling Thread | Poison Horn],275373,Weedle [Fury Attack],Fury Attack,2
UF,E,Unown,"10,38€",correction,276621,Unown [K] [Shuffle | Hidden Power],276627,Unown [E] [Shuffle | Hidden Power],Shuffle Hidden Power E,28
RS,42,Mightyena,"10,29€",correction,275658,Mightyena [Intimidating Fang | Shakedown],275690,Mightyena [Bite | Ambush],Bite Ambush,2
DS,35,Ditto,"10,14€",correction,276825,Ditto [Geodude | Duplicate | Linear Attack],276798,Ditto [Duplicate | Energy Link],Duplicate Energy Link,10
UF,D,Unown,"10,10€",correction,276641,Unown [Q] [Shuffle | Hidden Power],276628,Unown [D] [Shuffle | Hidden Power],Shuffle Hidden Power D,28
UF,C,Unown,"9,93€",correction,276626,Unown [J] [Shuffle | Hidden Power],276625,Unown [C] [Shuffle | Hidden Power],Shuffle Hidden Power C,28
UF,B,Unown,"9,87€",correction,276623,Unown [O] [Shuffle | Hidden Power],276619,Unown [B] [Shuffle | Hidden Power],Shuffle Hidden Power B,28
UF,A,Unown,"9,66€",correction,276629,Unown [F] [Shuffle | Hidden Power],276620,Unown [A] [Shuffle | Hidden Power],Shuffle Hidden Power A,28
E1,135,Totodile,"9,49€",correction,275009,Totodile [Surf | Double Scratch],275010,Totodile [Paralyzing Gaze | Bite],Paralyzing Gaze Bite,2
SP,232,Charmander,"9,26€",correction,547031,Charmander [Collect | Flare],664338,Charmander [Tail on Fire],Tail on Fire,2
E2,80,Growlithe,"8,90€",correction,275124,Growlithe [Ember],275154,Growlithe [Roar | Firebreathing],Roar Firebreathing,2
E1,53,Meganium,"8,66€",correction,274929,Meganium [Soothing Aroma | Poisonpowder],274928,Meganium [Sleep Powder | Solarbeam],Sleep Powder Solarbeam,3
SP,140,Pikachu V-UNION,"7,70€",correction,576738,Pikachu V-UNION [Union Gain],576739,Pikachu V-UNION [Shocking Shock],Shocking Shock,5
DX,17,Deoxys,"7,20€",correction,276421,Deoxys [Form Change | Barrier Attack],276420,Deoxys [Form Change | Energy Crush],Form Change Energy Crush,5
SP,139,Pikachu V-UNION,"7,15€",correction,576739,Pikachu V-UNION [Shocking Shock],576738,Pikachu V-UNION [Union Gain],Union Gain,5
SP,92,Charmander,"7,14€",correction,664338,Charmander [Tail on Fire],547031,Charmander [Collect | Flare],Collect Flare,2
SP,210,Oricorio,"7,02€",correction,580165,Oricorio [Lesson in Zeal | Glistening Droplets],659062,Oricorio [Mixed Call | Razor Wing],Mixed Call Razor Wing,2
SVP,76,Sprigatito,"6,75€",correction,690961,Sprigatito [Mini Drain],751801,Sprigatito [Gather Sunlight | Seed Bomb],Gather Sunlight Seed Bomb,3
E3,73,Ledyba,"6,69€",correction,275331,Ledyba [Teary Eyes | Quick Turn],275330,Ledyba [Gnaw | Slam],Gnaw Slam,2
E2,106,Scyther,"6,68€",correction,275130,Scyther [Quick Turn | Cross-Cut],275182,Scyther [Slash | Swift],Slash Swift,2
E2,51,Growlithe,"6,42€",correction,275154,Growlithe [Roar | Firebreathing],275124,Growlithe [Ember],Ember,2
E1,134,Totodile,"5,91€",correction,275010,Totodile [Paralyzing Gaze | Bite],275009,Totodile [Surf | Double Scratch],Surf Double Scratch,2
E2,57,Scyther,"5,30€",correction,275182,Scyther [Slash | Swift],275130,Scyther [Quick Turn | Cross-Cut],Quick Turn Cross-Cut,2
LTR,RC12,Stunfisk,"4,95€",correction,281234,Stunfisk [Muddy Water | Rumble],281136,Stunfisk [Attract | Mud-Slap],Attract Mud-Slap,2
SP,157,Greninja V-UNION,"4,95€",correction,572158,Greninja V-UNION [Feel the Way | Waterfall Bind],572157,Greninja V-UNION [Antidote Jutsu | Twister Shuriken],Antidote Jutsu Twister Shuriken,5
E3,72,Ledyba,"4,93€",correction,275330,Ledyba [Gnaw | Slam],275331,Ledyba [Teary Eyes | Quick Turn],Teary Eyes Quick Turn,2
BWP,69,Meloetta,"4,61€",correction,279864,Meloetta [Sing | Psyburn],279862,Meloetta [Smack | Acrobatics],Smack Acrobatics,2
G1,80,Lt. Surge's Magnemite,"4,29€",correction,274186,Lt. Surge's Magnemite [Removal Pulse | Confusion Pulse],274216,Lt. Surge's Magnemite [Thundershock | Tackle],Thundershock Tackle,2
DR,10,Salamence,"3,96€",correction,275896,Salamence [Intimidating Fang | Dragon Flame],275887,Salamence [Dragon Wind | Agility | Dragon Claw],Dragon Wind Agility Dragon Claw,3
PAF,172,Paldean Tauros,"3,90€",correction,751650,Paldean Tauros [Raging Horns | Blaze Dash],751711,Paldean Tauros [Raging Horns | Combat Tackle],Raging Horns Combat Tackle,3
N1,32,Croconaw,"3,88€",correction,274431,Croconaw [Screech | Jaw Clamp],274432,Croconaw [Tackle | Sweep Away],Tackle Sweep Away,2
LTR,83,Stunfisk,"3,66€",correction,281136,Stunfisk [Attract | Mud-Slap],281234,Stunfisk [Muddy Water | Rumble],Muddy Water Rumble,2
SP,73,Sobble,"3,61€",correction,427091,Sobble [Bind],516364,Sobble [Growl | Rain Splash],Growl Rain Splash,3
SSH,15,Rillaboom,"3,52€",correction,701500,Rillaboom [Voltage Beat | Hammer In],436244,Rillaboom [Drum Roll | Drum Beating],Drum Roll Drum Beating,4
BWP,68,Meloetta,"3,51€",correction,279862,Meloetta [Smack | Acrobatics],279864,Meloetta [Sing | Psyburn],Sing Psyburn,2
PAF,120,Paldean Tauros,"3,30€",correction,751711,Paldean Tauros [Raging Horns | Combat Tackle],751659,Paldean Tauros [Raging Horns | Aqua Dive],Raging Horns Aqua Dive,3
SP,71,Scorbunny,"3,24€",correction,427086,Scorbunny [Super Singe],516354,Scorbunny [Me First | Live Coal],Me First Live Coal,4
SS,46,Lombre,"3,18€",correction,275822,Lombre [Rain Dish | Double Scratch],275823,Lombre [Surprise | Fury Swipes],Surprise Fury Swipes,2
SP,164,Zacian V-UNION,"3,06€",correction,572163,Zacian V-UNION [Union Gain],572164,Zacian V-UNION [Dance of the Crowned Sword],Dance of the Crowned Sword,5
CG,43,Wartortle,"3,03€",correction,277123,Wartortle [Bubble | Tackle],277124,Wartortle [Tail Whip | Bite],Tail Whip Bite,3
SP,70,Grookey,"2,98€",correction,547426,Grookey [Branch Poke],516349,Grookey [Full On],Full On,3
G1,78,Erika's Oddish,"2,97€",correction,274183,Erika's Oddish [Photosynthesis | Poisonpowder],274214,Erika's Oddish [Blot | Sporadic Sponging],Blot Sporadic Sponging,2
SP,163,Zacian V-UNION,"2,81€",correction,572164,Zacian V-UNION [Dance of the Crowned Sword],572163,Zacian V-UNION [Union Gain],Union Gain,5
RG,55,Bulbasaur,"2,77€",correction,276230,Bulbasaur [Sleep Poison | Razor Leaf],276231,Bulbasaur [Ram | Gouge],Ram Gouge,2
SVP,108,Flaaffy,"2,76€",correction,703183,Flaaffy [Static Shock | Extreme Current],769404,Flaaffy [Headbutt | Electro Ball],Headbutt Electro Ball,2
PAF,111,Paldean Tauros,"2,75€",correction,751659,Paldean Tauros [Raging Horns | Aqua Dive],751650,Paldean Tauros [Raging Horns | Blaze Dash],Raging Horns Blaze Dash,3
N1,47,Quilava,"2,70€",correction,274446,Quilava [Ember | Fire Wind],274447,Quilava [Smokescreen | Char],Smokescreen Char,2
RS,50,Aron,"2,67€",correction,275673,Aron [Rollout | Double Stab],275698,Aron [Gnaw],Gnaw,3
E2,115,Voltorb,"2,59€",correction,275137,Voltorb [Rollout | Thundershock],275191,Voltorb [Swift],Swift,2
E2,85,Horsea,"2,55€",correction,275158,Horsea [Bubble],275159,Horsea [Reverse Thrust],Reverse Thrust,2
SVP,82,Quaxly,"2,55€",correction,690963,Quaxly [Water Splash],751807,Quaxly [Reckless Charge],Reckless Charge,2
RS,71,Skitty,"2,53€",correction,275692,Skitty [Minor Errand-Running | Lullaby],275719,Skitty [Tackle | Lunge],Tackle Lunge,3
DRV,15,Fraxure,"2,35€",correction,281014,Fraxure [Grit | Dragon Claw],281015,Fraxure [Scratch | Sharp Fang],Scratch Sharp Fang,2
SP,63,Pikachu V,"2,31€",correction,540616,Pikachu V [Charge | Thunderbolt],496545,Pikachu V [Pika Ball | Circle Circuit],Pika Ball Circle Circuit,8
CG,31,Combusken,"2,25€",correction,277097,Combusken [Focus Energy | High Jump Kick],277112,Combusken [Searing Flame | Firebreathing],Searing Flame Firebreathing,2
XY,90,Wigglytuff,"2,25€",correction,281426,Wigglytuff [Gather Energy | Hocus Pinkus],281427,Wigglytuff [Balloon Barrage | Double-Edge],Balloon Barrage Double-Edge,2
