set;number;name;type;rarity
BST;141;Single Strike Energy;Special Energy;Uncommon
BST;142;Kricketune V;GBasic;Ultra Rare
BST;143;Flapple V;GBasic;Ultra Rare
BST;144;Victini V;RBasic;Ultra Rare
BST;145;Empoleon V;WBasic;Ultra Rare
BST;146;Empoleon V;WBasic;Ultra Rare
BST;147;Tapu Koko V;LBasic;Ultra Rare
BST;148;Mimikyu V;PBasic;Ultra Rare
BST;149;Necrozma V;PBasic;Ultra Rare
BST;150;Single Strike Urshifu V;FBasic;Ultra Rare
BST;151;Single Strike Urshifu V;FBasic;Ultra Rare
BST;152;Rapid Strike Urshifu V;FBasic;Ultra Rare
BST;153;Rapid Strike Urshifu V;FBasic;Ultra Rare
BST;154;Tyranitar V;DBasic;Ultra Rare
BST;155;Tyranitar V;DBasic;Ultra Rare
BST;156;Corviknight V;MBasic;Ultra Rare
BST;157;Stoutland V;CBasic;Ultra Rare
BST;158;Bruno;Supporter;Ultra Rare
BST;159;Cheryl;Supporter;Ultra Rare
BST;160;Korrina's Focus;Supporter;Ultra Rare
BST;161;Phoebe;Supporter;Ultra Rare
BST;162;Rapid Strike Style Mustard;Supporter;Ultra Rare
BST;163;Single Strike Style Mustard;Supporter;Ultra Rare
BST;164;Flapple VMAX;GVMAX;Rainbow Rare
BST;165;Victini VMAX;RVMAX;Rainbow Rare
BST;166;Tapu Koko VMAX;LVMAX;Rainbow Rare
BST;167;Single Strike Urshifu VMAX;FVMAX;Rainbow Rare
BST;168;Single Strike Urshifu VMAX;FVMAX;Secret Rare
BST;169;Rapid Strike Urshifu VMAX;FVMAX;Rainbow Rare
BST;170;Rapid Strike Urshifu VMAX;FVMAX;Secret Rare
BST;171;Corviknight VMAX;MVMAX;Rainbow Rare
BST;172;Bruno;Supporter;Rainbow Rare
BST;173;Cheryl;Supporter;Rainbow Rare
BST;174;Korrina's Focus;Supporter;Rainbow Rare
BST;175;Phoebe;Supporter;Rainbow Rare
BST;176;Rapid Strike Style Mustard;Supporter;Rainbow Rare
BST;177;Single Strike Style Mustard;Supporter;Rainbow Rare
BST;178;Octillery;WStage 1;Secret Rare
BST;179;Houndoom;DStage 1;Secret Rare
BST;180;Exp. Share;Tool;Secret Rare
BST;181;Level Ball;Item;Secret Rare
BST;182;Rapid Strike Energy;Special Energy;Secret Rare
BST;183;Single Strike Energy;Special Energy;Secret Rare
CRE;1;Weedle;GBasic;Common
CRE;2;Kakuna;GStage 1;Uncommon
CRE;3;Beedrill;GStage 2;Holo Rare
CRE;4;Ledyba;GBasic;Common
CRE;5;Ledian;GStage 1;Uncommon
CRE;6;Heracross;GBasic;Common
CRE;7;Celebi V;GBasic;Double Rare
CRE;8;Celebi VMAX;GVMAX;Triple Rare
CRE;9;Snover;GBasic;Common
CRE;10;Abomasnow;GStage 1;Rare
CRE;11;Deerling;GBasic;Common
CRE;12;Sawsbuck;GStage 1;Rare
CRE;13;Bounsweet;GBasic;Common
CRE;14;Steenee;GStage 1;Uncommon
CRE;15;Tsareena;GStage 2;Rare
CRE;16;Grookey;GBasic;Common
CRE;17;Thwackey;GStage 1;Uncommon
CRE;18;Rillaboom;GStage 2;Holo Rare
CRE;19;Zarude;GBasic;Holo Rare
CRE;20;Blaziken V;RBasic;Double Rare
CRE;21;Blaziken VMAX;RVMAX;Triple Rare
CRE;22;Castform Sunny Form;RBasic;Common
CRE;23;Larvesta;RBasic;Common
CRE;24;Volcarona;RStage 1;Rare
CRE;25;Volcanion V;RBasic;Double Rare
CRE;26;Scorbunny;RBasic;Common
CRE;27;Raboot;RStage 1;Uncommon
CRE;28;Cinderace;RStage 2;Holo Rare
CRE;29;Lapras;WBasic;Common
CRE;30;Sneasel;WBasic;Common
CRE;31;Weavile;WStage 1;Holo Rare
CRE;32;Delibird;WBasic;Common
CRE;33;Castform Rainy Form;WBasic;Common
CRE;34;Castform Snowy Form;WBasic;Common
CRE;35;Snorunt;WBasic;Common
CRE;36;Froslass;WStage 1;Holo Rare
CRE;37;Spheal;WBasic;Common
CRE;38;Sealeo;WStage 1;Uncommon
CRE;39;Walrein;WStage 2;Rare
CRE;40;Tapu Fini;WBasic;Holo Rare
CRE;41;Sobble;WBasic;Common
CRE;42;Drizzile;WStage 1;Uncommon
CRE;43;Inteleon;WStage 2;Holo Rare
CRE;44;Rapid Strike Urshifu;WStage 1;Holo Rare
CRE;45;Ice Rider Calyrex V;WBasic;Double Rare
CRE;46;Ice Rider Calyrex VMAX;WVMAX;Triple Rare
CRE;47;Mareep;LBasic;Common
CRE;48;Flaaffy;LStage 1;Uncommon
CRE;49;Ampharos;LStage 2;Rare
CRE;50;Blitzle;LBasic;Common
CRE;51;Zebstrika;LStage 1;Rare
CRE;52;Thundurus;LBasic;Holo Rare
CRE;53;Zeraora V;LBasic;Double Rare
CRE;54;Galarian Slowpoke;PBasic;Common
CRE;55;Gastly;PBasic;Common
CRE;56;Haunter;PStage 1;Uncommon
CRE;57;Gengar;PStage 2;Holo Rare
CRE;58;Galarian Articuno V;PBasic;Double Rare
CRE;59;Ralts;PBasic;Common
CRE;60;Kirlia;PStage 1;Uncommon
CRE;61;Gardevoir;PStage 2;Holo Rare
CRE;62;Shuppet;PBasic;Common
CRE;63;Banette;PStage 1;Rare
CRE;64;Cresselia;PBasic;Holo Rare
CRE;65;Golett;PBasic;Common
CRE;66;Golurk;PStage 1;Rare
CRE;67;Swirlix;PBasic;Common
CRE;68;Slurpuff;PStage 1;Rare
CRE;69;Inkay;PBasic;Common
CRE;70;Malamar;PStage 1;Rare
CRE;71;Hatenna;PBasic;Common
CRE;72;Hattrem;PStage 1;Uncommon
CRE;73;Hatterene;PStage 2;Holo Rare
CRE;74;Shadow Rider Calyrex V;PBasic;Double Rare
CRE;75;Shadow Rider Calyrex VMAX;PVMAX;Triple Rare
CRE;76;Diglett;FBasic;Common
CRE;77;Dugtrio;FStage 1;Rare
CRE;78;Galarian Farfetch'd;FBasic;Common
CRE;79;Galarian Sirfetch'd;FStage 1;Rare
CRE;80;Galarian Zapdos V;FBasic;Double Rare
CRE;81;Gallade;FStage 2;Rare
CRE;82;Galarian Yamask;FBasic;Common
CRE;83;Galarian Runerigus;FStage 1;Holo Rare
CRE;84;Crabrawler;FBasic;Common
CRE;85;Crabominable;FStage 1;Uncommon
CRE;86;Rockruff;FBasic;Common
CRE;87;Lycanroc;FStage 1;Holo Rare
CRE;88;Passimian;FBasic;Rare
CRE;89;Sandaconda V;FBasic;Double Rare
CRE;90;Sandaconda VMAX;FVMAX;Triple Rare
CRE;91;Clobbopus;FBasic;Common
CRE;92;Grapploct;FStage 1;Holo Rare
CRE;93;Kubfu;FBasic;Common
CRE;94;Koffing;DBasic;Common
CRE;95;Weezing;DStage 1;Rare
CRE;96;Galarian Weezing;DStage 1;Rare
CRE;97;Galarian Moltres V;DBasic;Double Rare
CRE;98;Galarian Slowking;DStage 1;Holo Rare
CRE;99;Galarian Slowking V;DBasic;Double Rare
CRE;100;Galarian Slowking VMAX;DVMAX;Triple Rare
CRE;101;Qwilfish;DBasic;Common
CRE;102;Seviper;DBasic;Rare
CRE;103;Spiritomb;DBasic;Rare
CRE;104;Liepard V;DBasic;Double Rare
CRE;105;Venipede;DBasic;Common
CRE;106;Whirlipede;DStage 1;Uncommon
CRE;107;Scolipede;DStage 2;Rare
CRE;108;Single Strike Urshifu;DStage 1;Holo Rare
CRE;109;Aron;MBasic;Common
CRE;110;Lairon;MStage 1;Uncommon
CRE;111;Aggron;MStage 2;Rare
CRE;112;Metagross V;MBasic;Double Rare
CRE;113;Metagross VMAX;MVMAX;Triple Rare
CRE;114;Cobalion;MBasic;Holo Rare
CRE;115;Tauros;CBasic;Holo Rare
CRE;116;Porygon;CBasic;Common
CRE;117;Porygon2;CStage 1;Uncommon
CRE;118;Porygon-Z;CStage 2;Holo Rare
CRE;119;Blissey V;CBasic;Double Rare
CRE;120;Zangoose;CBasic;Rare
CRE;121;Castform;CBasic;Common
CRE;122;Kecleon;CBasic;Rare
CRE;123;Shaymin;CBasic;Holo Rare
CRE;124;Tornadus V;CBasic;Double Rare
CRE;125;Tornadus VMAX;CVMAX;Triple Rare
CRE;126;Furfrou;CBasic;Common
CRE;127;Skwovet;CBasic;Common
CRE;128;Greedent;CStage 1;Holo Rare
CRE;129;Agatha;Supporter;Uncommon
CRE;130;Avery;Supporter;Uncommon
CRE;131;Brawly;Supporter;Uncommon
CRE;132;Caitlin;Supporter;Uncommon
CRE;133;Crushing Gloves;Tool;Uncommon
CRE;134;Doctor;Supporter;Uncommon
CRE;135;Dyna Tree Hill;Stadium;Uncommon
CRE;136;Echoing Horn;Item;Uncommon
CRE;137;Expedition Uniform;Item;Uncommon
CRE;138;Fire-Resistant Gloves;Tool;Uncommon
CRE;139;Flannery;Supporter;Uncommon
CRE;140;Fog Crystal;Item;Uncommon
CRE;141;Galarian Chestplate;Tool;Uncommon
CRE;142;Honey;Supporter;Uncommon
CRE;143;Justified Gloves;Tool;Uncommon
CRE;144;Karen's Conviction;Supporter;Uncommon
CRE;145;Klara;Supporter;Uncommon
CRE;146;Melony;Supporter;Uncommon
CRE;147;Old Cemetery;Stadium;Uncommon
CRE;148;Path to the Peak;Stadium;Uncommon
CRE;149;Peonia;Supporter;Uncommon
CRE;150;Peony;Supporter;Uncommon
CRE;151;Rapid Strike Scroll of the Skies;Tool;Uncommon
CRE;152;Rugged Helmet;Tool;Uncommon
CRE;153;Siebold;Supporter;Uncommon
CRE;154;Single Strike Scroll of Piercing;Tool;Uncommon
CRE;155;Weeding Gloves;Tool;Uncommon
CRE;156;Welcoming Lantern;Item;Uncommon
CRE;157;Impact Energy;Special Energy;Uncommon
CRE;158;Lucky Energy;Special Energy;Uncommon
CRE;159;Spiral Energy;Special Energy;Uncommon
CRE;160;Celebi V;GBasic;Ultra Rare
CRE;161;Blaziken V;RBasic;Ultra Rare
CRE;162;Volcanion V;RBasic;Ultra Rare
CRE;163;Ice Rider Calyrex V;WBasic;Ultra Rare
CRE;164;Ice Rider Calyrex V;WBasic;Ultra Rare
CRE;165;Zeraora V;LBasic;Ultra Rare
CRE;166;Zeraora V;LBasic;Ultra Rare
CRE;167;Galarian Rapidash V;PBasic;Ultra Rare
CRE;168;Galarian Rapidash V;PBasic;Ultra Rare
CRE;169;Galarian Articuno V;PBasic;Ultra Rare
CRE;170;Galarian Articuno V;PBasic;Ultra Rare
CRE;171;Shadow Rider Calyrex V;PBasic;Ultra Rare
CRE;172;Shadow Rider Calyrex V;PBasic;Ultra Rare
CRE;173;Galarian Zapdos V;FBasic;Ultra Rare
CRE;174;Galarian Zapdos V;FBasic;Ultra Rare
CRE;175;Sandaconda V;FBasic;Ultra Rare
CRE;176;Galarian Moltres V;DBasic;Ultra Rare
CRE;177;Galarian Moltres V;DBasic;Ultra Rare
CRE;178;Galarian Slowking V;DBasic;Ultra Rare
CRE;179;Galarian Slowking V;DBasic;Ultra Rare
CRE;180;Liepard V;DBasic;Ultra Rare
CRE;181;Metagross V;MBasic;Ultra Rare
CRE;182;Blissey V;CBasic;Ultra Rare
CRE;183;Blissey V;CBasic;Ultra Rare
CRE;184;Tornadus V;CBasic;Ultra Rare
CRE;185;Tornadus V;CBasic;Ultra Rare
CRE;186;Agatha;Supporter;Ultra Rare
CRE;187;Avery;Supporter;Ultra Rare
CRE;188;Brawly;Supporter;Ultra Rare
CRE;189;Caitlin;Supporter;Ultra Rare
CRE;190;Doctor;Supporter;Ultra Rare
CRE;191;Flannery;Supporter;Ultra Rare
CRE;192;Honey;Supporter;Ultra Rare
CRE;193;Karen's Conviction;Supporter;Ultra Rare
CRE;194;Klara;Supporter;Ultra Rare
CRE;195;Melony;Supporter;Ultra Rare
CRE;196;Peonia;Supporter;Ultra Rare
CRE;197;Peony;Supporter;Ultra Rare
CRE;198;Siebold;Supporter;Ultra Rare
CRE;199;Celebi VMAX;GVMAX;Rainbow Rare
CRE;200;Blaziken VMAX;RVMAX;Rainbow Rare
CRE;201;Blaziken VMAX;RVMAX;Secret Rare
CRE;202;Ice Rider Calyrex VMAX;WVMAX;Rainbow Rare
CRE;203;Ice Rider Calyrex VMAX;WVMAX;Secret Rare
CRE;204;Shadow Rider Calyrex VMAX;PVMAX;Rainbow Rare
CRE;205;Shadow Rider Calyrex VMAX;PVMAX;Secret Rare
CRE;206;Sandaconda VMAX;FVMAX;Rainbow Rare
CRE;207;Galarian Slowking VMAX;DVMAX;Rainbow Rare
CRE;208;Metagross VMAX;MVMAX;Rainbow Rare
CRE;209;Tornadus VMAX;CVMAX;Rainbow Rare
CRE;210;Agatha;Supporter;Rainbow Rare
CRE;211;Avery;Supporter;Rainbow Rare
CRE;212;Brawly;Supporter;Rainbow Rare
CRE;213;Caitlin;Supporter;Rainbow Rare
CRE;214;Doctor;Supporter;Rainbow Rare
CRE;215;Flannery;Supporter;Rainbow Rare
CRE;216;Karen's Conviction;Supporter;Rainbow Rare
CRE;217;Klara;Supporter;Rainbow Rare
CRE;218;Melony;Supporter;Rainbow Rare
CRE;219;Peonia;Supporter;Rainbow Rare
CRE;220;Peony;Supporter;Rainbow Rare
CRE;221;Siebold;Supporter;Rainbow Rare
CRE;222;Electrode;LStage 1;Secret Rare
CRE;223;Bronzong;MStage 1;Secret Rare
CRE;224;Snorlax;CBasic;Secret Rare
CRE;225;Echoing Horn;Item;Secret Rare
CRE;226;Fan of Waves;Item;Secret Rare
CRE;227;Fog Crystal;Item;Secret Rare
CRE;228;Rugged Helmet;Tool;Secret Rare
CRE;229;Urn of Vitality;Item;Secret Rare
CRE;230;Welcoming Lantern;Item;Secret Rare
CRE;231;Water Energy;Basic Energy;Secret Rare
CRE;232;Psychic Energy;Basic Energy;Secret Rare
CRE;233;Fighting Energy;Basic Energy;Secret Rare
EVS;1;Pinsir;GBasic;Rare
EVS;2;Hoppip;GBasic;Common
EVS;3;Skiploom;GStage 1;Uncommon
EVS;4;Jumpluff;GStage 2;Holo Rare
EVS;5;Seedot;GBasic;Common
EVS;6;Tropius;GBasic;Rare
EVS;7;Leafeon V;GBasic;Double Rare
EVS;8;Leafeon VMAX;GVMAX;Triple Rare
EVS;9;Petilil;GBasic;Common
EVS;10;Lilligant;GStage 1;Rare
EVS;11;Dwebble;GBasic;Common
EVS;12;Crustle;GStage 1;Uncommon
EVS;13;Trevenant V;GBasic;Double Rare
EVS;14;Trevenant VMAX;GVMAX;Triple Rare
EVS;15;Gossifleur;GBasic;Common
EVS;16;Eldegoss;GStage 1;Holo Rare
EVS;17;Applin;GBasic;Common
EVS;18;Flareon VMAX;RVMAX;Triple Rare
EVS;19;Entei;RBasic;Holo Rare
EVS;20;Victini;RBasic;Holo Rare
EVS;21;Volcarona V;RBasic;Double Rare
EVS;22;Litleo;RBasic;Common
EVS;23;Pyroar;RStage 1;Uncommon
EVS;24;Psyduck;WBasic;Common
EVS;25;Golduck;WStage 1;Uncommon
EVS;26;Tentacool;WBasic;Common
EVS;27;Tentacruel;WStage 1;Uncommon
EVS;28;Gyarados V;WBasic;Double Rare
EVS;29;Gyarados VMAX;WVMAX;Triple Rare
EVS;30;Vaporeon VMAX;WVMAX;Triple Rare
EVS;31;Suicune V;WBasic;Double Rare
EVS;32;Lotad;WBasic;Common
EVS;33;Lombre;WStage 1;Uncommon
EVS;34;Ludicolo;WStage 2;Holo Rare
EVS;35;Carvanha;WBasic;Common
EVS;36;Sharpedo;WStage 1;Rare
EVS;37;Feebas;WBasic;Common
EVS;38;Milotic;WStage 1;Rare
EVS;39;Luvdisc;WBasic;Common
EVS;40;Glaceon V;WBasic;Double Rare
EVS;41;Glaceon VMAX;WVMAX;Triple Rare
EVS;42;Tympole;WBasic;Common
EVS;43;Cryogonal;WBasic;Common
EVS;44;Bergmite;WBasic;Common
EVS;45;Avalugg;WStage 1;Uncommon
EVS;46;Wishiwashi;WBasic;Rare
EVS;47;Eiscue;WBasic;Uncommon
EVS;48;Arctovish V;WBasic;Double Rare
EVS;49;Pikachu;LBasic;Common
EVS;50;Raichu;LStage 1;Holo Rare
EVS;51;Jolteon VMAX;LVMAX;Triple Rare
EVS;52;Chinchou;LBasic;Common
EVS;53;Lanturn;LStage 1;Uncommon
EVS;54;Mareep;LBasic;Common
EVS;55;Flaaffy;LStage 1;Uncommon
EVS;56;Ampharos;LStage 2;Rare
EVS;57;Emolga;LBasic;Common
EVS;58;Dracozolt V;LBasic;Double Rare
EVS;59;Dracozolt VMAX;LVMAX;Triple Rare
EVS;60;Regieleki;LBasic;Holo Rare
EVS;61;Drowzee;PBasic;Common
EVS;62;Hypno;PStage 1;Uncommon
EVS;63;Galarian Articuno;PBasic;Holo Rare
EVS;64;Espeon V;PBasic;Double Rare
EVS;65;Espeon VMAX;PVMAX;Triple Rare
EVS;66;Wobbuffet;PBasic;Common
EVS;67;Sableye;PBasic;Common
EVS;68;Woobat;PBasic;Common
EVS;69;Swoobat;PStage 1;Uncommon
EVS;70;Golurk V;PBasic;Double Rare
EVS;71;Flabébé;PBasic;Common
EVS;72;Floette;PStage 1;Uncommon
EVS;73;Florges;PStage 2;Holo Rare
EVS;74;Sylveon V;PBasic;Double Rare
EVS;75;Sylveon VMAX;PVMAX;Triple Rare
EVS;76;Pumpkaboo;PBasic;Common
EVS;77;Gourgeist;PStage 1;Rare
EVS;78;Cutiefly;PBasic;Common
EVS;79;Ribombee;PStage 1;Uncommon
EVS;80;Marshadow;PBasic;Holo Rare
EVS;81;Hitmonchan;FBasic;Common
EVS;82;Galarian Zapdos;FBasic;Holo Rare
EVS;83;Medicham V;FBasic;Double Rare
EVS;84;Hippopotas;FBasic;Common
EVS;85;Hippowdon;FStage 1;Uncommon
EVS;86;Roggenrola;FBasic;Common
EVS;87;Boldore;FStage 1;Uncommon
EVS;88;Gigalith;FStage 2;Rare
EVS;89;Palpitoad;FStage 1;Uncommon
EVS;90;Seismitoad;FStage 2;Rare
EVS;91;Lycanroc V;FBasic;Double Rare
EVS;92;Lycanroc VMAX;FVMAX;Triple Rare
EVS;93;Galarian Moltres;DBasic;Holo Rare
EVS;94;Umbreon V;DBasic;Double Rare
EVS;95;Umbreon VMAX;DVMAX;Triple Rare
EVS;96;Nuzleaf;DStage 1;Uncommon
EVS;97;Shiftry;DStage 2;Rare
EVS;98;Scraggy;DBasic;Common
EVS;99;Scrafty;DStage 1;Uncommon
EVS;100;Garbodor V;DBasic;Double Rare
EVS;101;Garbodor VMAX;DVMAX;Triple Rare
EVS;102;Zorua;DBasic;Common
EVS;103;Zoroark;DStage 1;Holo Rare
EVS;104;Nickit;DBasic;Common
EVS;105;Thievul;DStage 1;Rare
EVS;106;Altaria;NStage 1;Rare
EVS;107;Bagon;NBasic;Common
EVS;108;Shelgon;NStage 1;Uncommon
EVS;109;Salamence;NStage 2;Holo Rare
EVS;110;Rayquaza V;NBasic;Double Rare
EVS;111;Rayquaza VMAX;NVMAX;Triple Rare
EVS;112;Dialga;NBasic;Holo Rare
EVS;113;Deino;NBasic;Common
EVS;114;Zweilous;NStage 1;Uncommon
EVS;115;Hydreigon;NStage 2;Holo Rare
EVS;116;Kyurem;NBasic;Holo Rare
EVS;117;Noivern V;NBasic;Double Rare
EVS;118;Zygarde;NBasic;Holo Rare
EVS;119;Drampa;NBasic;Rare
EVS;120;Flapple;NStage 1;Rare
EVS;121;Appletun;NStage 1;Rare
EVS;122;Duraludon V;NBasic;Double Rare
EVS;123;Duraludon VMAX;NVMAX;Triple Rare
EVS;124;Regidrago;NBasic;Holo Rare
EVS;125;Eevee;CBasic;Common
EVS;126;Teddiursa;CBasic;Common
EVS;127;Ursaring;CStage 1;Uncommon
EVS;128;Smeargle;CBasic;Rare
EVS;129;Slakoth;CBasic;Common
EVS;130;Vigoroth;CStage 1;Uncommon
EVS;131;Slaking;CStage 2;Holo Rare
EVS;132;Swablu;CBasic;Common
EVS;133;Lillipup;CBasic;Common
EVS;134;Herdier;CStage 1;Uncommon
EVS;135;Stoutland;CStage 2;Rare
EVS;136;Rufflet;CBasic;Common
EVS;137;Braviary;CStage 1;Uncommon
EVS;138;Fletchling;CBasic;Common
EVS;139;Fletchinder;CStage 1;Uncommon
EVS;140;Talonflame;CStage 2;Rare
EVS;141;Aroma Lady;Supporter;Uncommon
EVS;142;Boost Shake;Item;Uncommon
EVS;143;Copycat;Supporter;Uncommon
EVS;144;Crystal Cave;Stadium;Uncommon
EVS;145;Digging Gloves;Tool;Uncommon
EVS;146;Dream Ball;Item;Uncommon
EVS;147;Elemental Badge;Tool;Uncommon
EVS;148;Full Face Guard;Tool;Uncommon
EVS;149;Gordie;Supporter;Uncommon
EVS;150;Lucky Ice Pop;Item;Uncommon
EVS;151;Moon & Sun Badge;Tool;Uncommon
EVS;152;Raihan;Supporter;Uncommon
EVS;153;Rapid Strike Scroll of the Flying Dragon;Tool;Uncommon
EVS;154;Rescue Carrier;Item;Uncommon
EVS;155;Ribbon Badge;Tool;Uncommon
EVS;156;Rubber Gloves;Tool;Uncommon
EVS;157;Shopping Center;Stadium;Uncommon
EVS;158;Single Strike Scroll of the Fanged Dragon;Tool;Uncommon
EVS;159;Snow Leaf Badge;Tool;Uncommon
EVS;160;Spirit Mask;Tool;Uncommon
EVS;161;Stormy Mountains;Stadium;Uncommon
EVS;162;Switching Cups;Item;Uncommon
EVS;163;Toy Catcher;Item;Uncommon
EVS;164;Zinnia's Resolve;Supporter;Uncommon
EVS;165;Treasure Energy;Special Energy;Uncommon
EVS;166;Leafeon V;GBasic;Ultra Rare
EVS;167;Leafeon V;GBasic;Ultra Rare
EVS;168;Trevenant V;GBasic;Ultra Rare
EVS;169;Flareon V;RBasic;Ultra Rare
EVS;170;Volcarona V;RBasic;Ultra Rare
EVS;171;Gyarados V;WBasic;Ultra Rare
EVS;172;Vaporeon V;WBasic;Ultra Rare
EVS;173;Suicune V;WBasic;Ultra Rare
EVS;174;Glaceon V;WBasic;Ultra Rare
EVS;175;Glaceon V;WBasic;Ultra Rare
EVS;176;Arctovish V;WBasic;Ultra Rare
EVS;177;Jolteon V;LBasic;Ultra Rare
EVS;178;Dracozolt V;LBasic;Ultra Rare
EVS;179;Espeon V;PBasic;Ultra Rare
EVS;180;Espeon V;PBasic;Ultra Rare
EVS;181;Golurk V;PBasic;Ultra Rare
EVS;182;Golurk V;PBasic;Ultra Rare
EVS;183;Sylveon V;PBasic;Ultra Rare
EVS;184;Sylveon V;PBasic;Ultra Rare
EVS;185;Medicham V;FBasic;Ultra Rare
EVS;186;Medicham V;FBasic;Ultra Rare
EVS;187;Lycanroc V;FBasic;Ultra Rare
EVS;188;Umbreon V;DBasic;Ultra Rare
EVS;189;Umbreon V;DBasic;Ultra Rare
EVS;190;Garbodor V;DBasic;Ultra Rare
EVS;191;Dragonite V;NBasic;Ultra Rare
EVS;192;Dragonite V;NBasic;Ultra Rare
EVS;193;Rayquaza V;NBasic;Ultra Rare
EVS;194;Rayquaza V;NBasic;Ultra Rare
EVS;195;Noivern V;NBasic;Ultra Rare
EVS;196;Noivern V;NBasic;Ultra Rare
EVS;197;Duraludon V;NBasic;Ultra Rare
EVS;198;Duraludon V;NBasic;Ultra Rare
EVS;199;Aroma Lady;Supporter;Ultra Rare
EVS;200;Copycat;Supporter;Ultra Rare
EVS;201;Gordie;Supporter;Ultra Rare
EVS;202;Raihan;Supporter;Ultra Rare
EVS;203;Zinnia's Resolve;Supporter;Ultra Rare
EVS;204;Leafeon VMAX;GVMAX;Rainbow Rare
EVS;205;Leafeon VMAX;GVMAX;Secret Rare
EVS;206;Trevenant VMAX;GVMAX;Rainbow Rare
EVS;207;Gyarados VMAX;WVMAX;Rainbow Rare
EVS;208;Glaceon VMAX;WVMAX;Rainbow Rare
EVS;209;Glaceon VMAX;WVMAX;Secret Rare
EVS;210;Dracozolt VMAX;LVMAX;Rainbow Rare
EVS;211;Sylveon VMAX;PVMAX;Rainbow Rare
EVS;212;Sylveon VMAX;PVMAX;Secret Rare
EVS;213;Lycanroc VMAX;FVMAX;Rainbow Rare
EVS;214;Umbreon VMAX;DVMAX;Rainbow Rare
EVS;215;Umbreon VMAX;DVMAX;Secret Rare
EVS;216;Garbodor VMAX;DVMAX;Rainbow Rare
EVS;217;Rayquaza VMAX;NVMAX;Rainbow Rare
EVS;218;Rayquaza VMAX;NVMAX;Secret Rare
EVS;219;Duraludon VMAX;NVMAX;Rainbow Rare
EVS;220;Duraludon VMAX;NVMAX;Secret Rare
EVS;221;Aroma Lady;Supporter;Rainbow Rare
EVS;222;Copycat;Supporter;Rainbow Rare
EVS;223;Gordie;Supporter;Rainbow Rare
EVS;224;Raihan;Supporter;Rainbow Rare
EVS;225;Zinnia's Resolve;Supporter;Rainbow Rare
EVS;226;Froslass;WStage 1;Secret Rare
EVS;227;Inteleon;WStage 2;Secret Rare
EVS;228;Cresselia;PBasic;Secret Rare
EVS;229;Boost Shake;Item;Secret Rare
EVS;230;Crystal Cave;Stadium;Secret Rare
EVS;231;Full Face Guard;Tool;Secret Rare
EVS;232;Stormy Mountains;Stadium;Secret Rare
EVS;233;Toy Catcher;Item;Secret Rare
EVS;234;Turffield Stadium;Stadium;Secret Rare
EVS;235;Lightning Energy;Basic Energy;Secret Rare
EVS;236;Darkness Energy;Basic Energy;Secret Rare
EVS;237;Metal Energy;Basic Energy;Secret Rare
CEL;1;Ho-Oh;RBasic;Rare
CEL;2;Reshiram;RBasic;Rare
CEL;3;Kyogre;WBasic;Rare
CEL;4;Palkia;WBasic;Rare
CEL;5;Pikachu;LBasic;Holo Rare
CEL;6;Flying Pikachu V;LBasic;Double Rare
CEL;7;Flying Pikachu VMAX;LVMAX;Triple Rare
CEL;8;Surfing Pikachu V;LBasic;Double Rare
CEL;9;Surfing Pikachu VMAX;LVMAX;Triple Rare
CEL;10;Zekrom;LBasic;Rare
CEL;11;Mew;PBasic;Holo Rare
CEL;12;Xerneas;PBasic;Rare
CEL;13;Cosmog;PBasic;Rare
CEL;14;Cosmoem;PStage 1;Rare
CEL;15;Lunala;PStage 2;Holo Rare
CEL;16;Zacian V;PBasic;Double Rare
CEL;17;Groudon;FBasic;Rare
CEL;18;Zamazenta V;FBasic;Double Rare
CEL;19;Yveltal;DBasic;Rare
CEL;20;Dialga;MBasic;Rare
CEL;21;Solgaleo;MStage 2;Holo Rare
CEL;22;Lugia;CBasic;Rare
CEL;23;Professor's Research;Supporter;Holo Rare
CEL;24;Professor's Research;Supporter;Ultra Rare
CEL;25;Mew;PBasic;Secret Rare
CEL;CC1;Blastoise;WStage 2;
CEL;CC10;Shining Magikarp;WBasic;
CEL;CC11;Team Magma's Groudon;FDBasic;
CEL;CC12;Rocket's Admin.;Supporter;
CEL;CC13;Mew ex;PBasic;
CEL;CC14;Gardevoir ex;RStage 2;
CEL;CC15;Umbreon Star;DBasic;
CEL;CC16;Claydol;FStage 1;
CEL;CC17;Luxray GL LV.X;LLevel Up;
CEL;CC18;Garchomp C LV.X;CLevel Up;
CEL;CC19;Donphan;FStage 1;
CEL;CC2;Charizard;RStage 2;
CEL;CC20;Reshiram;RBasic;
CEL;CC21;Zekrom;LBasic;
CEL;CC22;Mewtwo-EX;PBasic;
CEL;CC23;Xerneas-EX;YBasic;
CEL;CC24;M Rayquaza-EX;CMega Evolution;
CEL;CC25;Tapu Lele-GX;PBasic;
CEL;CC3;Venusaur;GStage 2;
CEL;CC4;Imposter Professor Oak;Item;
CEL;CC5;Dark Gyarados;WStage 1;
CEL;CC6;Here Comes Team Rocket!;Supporter;
CEL;CC7;Rocket's Zapdos;LBasic;
CEL;CC8;_____'s Pikachu;LBasic;
CEL;CC9;Cleffa;CBasic;
FST;1;Caterpie;GBasic;Common
FST;2;Metapod;GStage 1;Uncommon
FST;3;Butterfree;GStage 2;Holo Rare
FST;4;Shroomish;GBasic;Common
