Set	No.	Name	Type	Rarity	USD	EUR	Result	Hilfe
MC	288	Team Rocket's Drowzee	PBasic				Team Rocket's Drowzee MC 288	Team Rocket's Drowzee MC
MC	289	Team Rocket's Hypno	PStage 1				Team Rocket's Hypno MC 289	Team Rocket's Hypno MC
MC	290	Team Rocket's Mewtwo ex	PBasic				Team Rocket's Mewtwo ex MC 290	Team Rocket's Mewtwo ex MC
MC	291	Togepi	PBasic				Togepi MC 291	Togepi MC
MC	292	Togetic	PStage 1				Togetic MC 292	Togetic MC
MC	293	Togekiss	PStage 2				Togekiss MC 293	Togekiss MC
MC	294	Marill	PBasic				Marill MC 294	Marill MC
MC	295	Marill	PBasic				Marill MC 295	Marill MC
MC	296	Azumarill	PStage 1				Azumarill MC 296	Azumarill MC
MC	297	Azumarill ex	PStage 1				Azumarill ex MC 297	Azumarill ex MC
MC	298	Espeon ex	PStage 1				Espeon ex MC 298	Espeon ex MC
MC	299	Sylveon ex	PStage 1				Sylveon ex MC 299	Sylveon ex MC
MC	300	Girafarig	PBasic				Girafarig MC 300	Girafarig MC
MC	301	Girafarig	PBasic				Girafarig MC 301	Girafarig MC
MC	302	Farigiraf	PStage 1				Farigiraf MC 302	Farigiraf MC
MC	303	Snubbull	PBasic				Snubbull MC 303	Snubbull MC
MC	304	Granbull	PStage 1				Granbull MC 304	Granbull MC
MC	305	Spoink	PBasic				Spoink MC 305	Spoink MC
MC	306	Grumpig	PStage 1				Grumpig MC 306	Grumpig MC
MC	307	Shuppet	PBasic				Shuppet MC 307	Shuppet MC
MC	308	Duskull	PBasic				Duskull MC 308	Duskull MC
MC	309	Dusclops	PStage 1				Dusclops MC 309	Dusclops MC
MC	310	Dusknoir	PStage 2				Dusknoir MC 310	Dusknoir MC
MC	311	Latias	PBasic				Latias MC 311	Latias MC
MC	312	Latias ex	PBasic				Latias ex MC 312	Latias ex MC
MC	313	Latios	PBasic				Latios MC 313	Latios MC
MC	314	Uxie	PBasic				Uxie MC 314	Uxie MC
MC	315	Mesprit	PBasic				Mesprit MC 315	Mesprit MC
MC	316	Azelf	PBasic				Azelf MC 316	Azelf MC
MC	317	Cresselia	PBasic				Cresselia MC 317	Cresselia MC
MC	318	Sigilyph	PBasic				Sigilyph MC 318	Sigilyph MC
MC	319	Yamask	PBasic				Yamask MC 319	Yamask MC
MC	320	Yamask	PBasic				Yamask MC 320	Yamask MC
MC	321	Cofagrigus	PStage 1				Cofagrigus MC 321	Cofagrigus MC
MC	322	Cofagrigus	PStage 1				Cofagrigus MC 322	Cofagrigus MC
MC	323	Gothita	PBasic				Gothita MC 323	Gothita MC
MC	324	Gothorita	PStage 1				Gothorita MC 324	Gothorita MC
MC	325	Gothitelle	PStage 2				Gothitelle MC 325	Gothitelle MC
MC	326	Elgyem	PBasic				Elgyem MC 326	Elgyem MC
MC	327	Beheeyem	PStage 1				Beheeyem MC 327	Beheeyem MC
MC	328	Flabébé	PBasic				Flabébé MC 328	Flabébé MC
MC	329	Floette	PStage 1				Floette MC 329	Floette MC
MC	330	Florges	PStage 2				Florges MC 330	Florges MC
MC	331	Espurr	PBasic				Espurr MC 331	Espurr MC
MC	332	Meowstic	PStage 1				Meowstic MC 332	Meowstic MC
MC	333	Swirlix	PBasic				Swirlix MC 333	Swirlix MC
MC	334	Slurpuff	PStage 1				Slurpuff MC 334	Slurpuff MC
MC	335	Xerneas	PBasic				Xerneas MC 335	Xerneas MC
MC	336	Oricorio	PBasic				Oricorio MC 336	Oricorio MC
MC	337	Oricorio	PBasic				Oricorio MC 337	Oricorio MC
MC	338	Lillie's Cutiefly	PBasic				Lillie's Cutiefly MC 338	Lillie's Cutiefly MC
MC	339	Lillie's Ribombee	PStage 1				Lillie's Ribombee MC 339	Lillie's Ribombee MC
MC	340	Lillie's Comfey	PBasic				Lillie's Comfey MC 340	Lillie's Comfey MC
MC	341	Team Rocket's Mimikyu	PBasic				Team Rocket's Mimikyu MC 341	Team Rocket's Mimikyu MC
MC	342	Tapu Lele	PBasic				Tapu Lele MC 342	Tapu Lele MC
MC	343	Impidimp	PBasic				Impidimp MC 343	Impidimp MC
MC	344	Morgrem	PStage 1				Morgrem MC 344	Morgrem MC
MC	345	Grimmsnarl	PStage 2				Grimmsnarl MC 345	Grimmsnarl MC
MC	346	Enamorus	PBasic				Enamorus MC 346	Enamorus MC
MC	347	Fidough	PBasic				Fidough MC 347	Fidough MC
MC	348	Dachsbun ex	PStage 1				Dachsbun ex MC 348	Dachsbun ex MC
MC	349	Greavard	PBasic				Greavard MC 349	Greavard MC
MC	350	Houndstone	PStage 1				Houndstone MC 350	Houndstone MC
MC	351	Houndstone ex	PStage 1				Houndstone ex MC 351	Houndstone ex MC
MC	352	Scream Tail	PBasic				Scream Tail MC 352	Scream Tail MC
MC	353	Scream Tail ex	PBasic				Scream Tail ex MC 353	Scream Tail ex MC
MC	354	Flutter Mane	PBasic				Flutter Mane MC 354	Flutter Mane MC
MC	355	Flutter Mane	PBasic				Flutter Mane MC 355	Flutter Mane MC
MC	356	Gimmighoul	PBasic				Gimmighoul MC 356	Gimmighoul MC
MC	357	Iron Valiant	PBasic				Iron Valiant MC 357	Iron Valiant MC
MC	358	Munkidori	PBasic				Munkidori MC 358	Munkidori MC
MC	359	Fezandipiti	PBasic				Fezandipiti MC 359	Fezandipiti MC
MC	360	Iron Boulder	PBasic				Iron Boulder MC 360	Iron Boulder MC
MC	361	Iron Crown ex	PBasic				Iron Crown ex MC 361	Iron Crown ex MC
MC	362	Swinub	FBasic				Swinub MC 362	Swinub MC
MC	363	Piloswine	FStage 1				Piloswine MC 363	Piloswine MC
MC	364	Mamoswine ex	FStage 2				Mamoswine ex MC 364	Mamoswine ex MC
MC	365	Phanpy	FBasic				Phanpy MC 365	Phanpy MC
MC	366	Donphan	FStage 1				Donphan MC 366	Donphan MC
MC	367	Hitmontop	FBasic				Hitmontop MC 367	Hitmontop MC
MC	368	Meditite	FBasic				Meditite MC 368	Meditite MC
MC	369	Medicham	FStage 1				Medicham MC 369	Medicham MC
MC	370	Medicham ex	FStage 1				Medicham ex MC 370	Medicham ex MC
MC	371	Lunatone	FBasic				Lunatone MC 371	Lunatone MC
MC	372	Solrock	FBasic				Solrock MC 372	Solrock MC
MC	373	Regirock	FBasic				Regirock MC 373	Regirock MC
MC	374	Regirock ex	FBasic				Regirock ex MC 374	Regirock ex MC
MC	375	Groudon	FBasic				Groudon MC 375	Groudon MC
MC	376	Cynthia's Gible	FBasic				Cynthia's Gible MC 376	Cynthia's Gible MC
MC	377	Cynthia's Gabite	FStage 1				Cynthia's Gabite MC 377	Cynthia's Gabite MC
MC	378	Cynthia's Garchomp ex	FStage 2				Cynthia's Garchomp ex MC 378	Cynthia's Garchomp ex MC
MC	379	Riolu	FBasic				Riolu MC 379	Riolu MC
MC	380	Lucario ex	FStage 1				Lucario ex MC 380	Lucario ex MC
MC	381	Croagunk	FBasic				Croagunk MC 381	Croagunk MC
MC	382	Croagunk	FBasic				Croagunk MC 382	Croagunk MC
MC	383	Toxicroak	FStage 1				Toxicroak MC 383	Toxicroak MC
MC	384	Toxicroak	FStage 1				Toxicroak MC 384	Toxicroak MC
MC	385	Drilbur	FBasic				Drilbur MC 385	Drilbur MC
MC	386	Excadrill	FStage 1				Excadrill MC 386	Excadrill MC
MC	387	Excadrill ex	FStage 1				Excadrill ex MC 387	Excadrill ex MC
MC	388	Timburr	FBasic				Timburr MC 388	Timburr MC
MC	389	Gurdurr	FStage 1				Gurdurr MC 389	Gurdurr MC
MC	390	Conkeldurr	FStage 2				Conkeldurr MC 390	Conkeldurr MC
MC	391	Sawk	FBasic				Sawk MC 391	Sawk MC
MC	392	Archen	FStage 1				Archen MC 392	Archen MC
MC	393	Archeops	FStage 2				Archeops MC 393	Archeops MC
MC	394	Stunfisk ex	FBasic				Stunfisk ex MC 394	Stunfisk ex MC
MC	395	Mienfoo	FBasic				Mienfoo MC 395	Mienfoo MC
MC	396	Mienshao	FStage 1				Mienshao MC 396	Mienshao MC
MC	397	Landorus	FBasic				Landorus MC 397	Landorus MC
MC	398	Landorus	FBasic				Landorus MC 398	Landorus MC
MC	399	Pancham	FBasic				Pancham MC 399	Pancham MC
MC	400	Carbink	FBasic				Carbink MC 400	Carbink MC
MC	401	Crabrawler	FBasic				Crabrawler MC 401	Crabrawler MC
MC	402	Rockruff	FBasic				Rockruff MC 402	Rockruff MC
MC	403	Lycanroc	FStage 1				Lycanroc MC 403	Lycanroc MC
MC	404	Mudbray	FBasic				Mudbray MC 404	Mudbray MC
MC	405	Mudsdale	FStage 1				Mudsdale MC 405	Mudsdale MC
MC	406	Mudsdale	FStage 1				Mudsdale MC 406	Mudsdale MC
MC	407	Passimian	FBasic				Passimian MC 407	Passimian MC
MC	408	Marshadow	FBasic				Marshadow MC 408	Marshadow MC
MC	409	Rolycoly	FBasic				Rolycoly MC 409	Rolycoly MC
MC	410	Carkol	FStage 1				Carkol MC 410	Carkol MC
MC	411	Coalossal	FStage 2				Coalossal MC 411	Coalossal MC
MC	412	Clobbopus	FBasic				Clobbopus MC 412	Clobbopus MC
MC	413	Grapploct	FStage 1				Grapploct MC 413	Grapploct MC
MC	414	Stonjourner	FBasic				Stonjourner MC 414	Stonjourner MC
MC	415	Bloodmoon Ursaluna	FBasic				Bloodmoon Ursaluna MC 415	Bloodmoon Ursaluna MC
MC	416	Nacli	FBasic				Nacli MC 416	Nacli MC
MC	417	Naclstack	FStage 1				Naclstack MC 417	Naclstack MC
MC	418	Garganacl	FStage 2				Garganacl MC 418	Garganacl MC
MC	419	Arven's Toedscool	FBasic				Arven's Toedscool MC 419	Arven's Toedscool MC
MC	420	Arven's Toedscruel	FStage 1				Arven's Toedscruel MC 420	Arven's Toedscruel MC
MC	421	Klawf	FBasic				Klawf MC 421	Klawf MC
MC	422	Great Tusk	FBasic				Great Tusk MC 422	Great Tusk MC
MC	423	Slither Wing	FBasic				Slither Wing MC 423	Slither Wing MC
MC	424	Sandy Shocks	FBasic				Sandy Shocks MC 424	Sandy Shocks MC
MC	425	Koraidon ex	FBasic				Koraidon ex MC 425	Koraidon ex MC
MC	426	Okidogi	FBasic				Okidogi MC 426	Okidogi MC
MC	427	Cornerstone Mask Ogerpon	FBasic				Cornerstone Mask Ogerpon MC 427	Cornerstone Mask Ogerpon MC
MC	428	Cornerstone Mask Ogerpon ex	FBasic				Cornerstone Mask Ogerpon ex MC 428	Cornerstone Mask Ogerpon ex MC
MC	429	Iron Boulder ex	FBasic				Iron Boulder ex MC 429	Iron Boulder ex MC
MC	430	Ekans	DBasic				Ekans MC 430	Ekans MC
MC	431	Arbok	DStage 1				Arbok MC 431	Arbok MC
MC	432	Team Rocket's Nidoran♀	DBasic				Team Rocket's Nidoran♀ MC 432	Team Rocket's Nidoran♀ MC
MC	433	Team Rocket's Nidorina	DStage 1				Team Rocket's Nidorina MC 433	Team Rocket's Nidorina MC
MC	434	Team Rocket's Nidoqueen	DStage 2				Team Rocket's Nidoqueen MC 434	Team Rocket's Nidoqueen MC
MC	435	Team Rocket's Nidoran♂	DBasic				Team Rocket's Nidoran♂ MC 435	Team Rocket's Nidoran♂ MC
MC	436	Team Rocket's Nidorino	DStage 1				Team Rocket's Nidorino MC 436	Team Rocket's Nidorino MC
MC	437	Team Rocket's Nidoking ex	DStage 2				Team Rocket's Nidoking ex MC 437	Team Rocket's Nidoking ex MC
MC	438	Team Rocket's Zubat	DBasic				Team Rocket's Zubat MC 438	Team Rocket's Zubat MC
MC	439	Team Rocket's Golbat	DStage 1				Team Rocket's Golbat MC 439	Team Rocket's Golbat MC
MC	440	Team Rocket's Crobat ex	DStage 2				Team Rocket's Crobat ex MC 440	Team Rocket's Crobat ex MC
MC	441	Gastly	DBasic				Gastly MC 441	Gastly MC
MC	442	Gastly	DBasic				Gastly MC 442	Gastly MC
MC	443	Haunter	DStage 1				Haunter MC 443	Haunter MC
MC	444	Haunter	DStage 1				Haunter MC 444	Haunter MC
MC	445	Gengar ex	DStage 2				Gengar ex MC 445	Gengar ex MC
MC	446	Umbreon ex	DStage 1				Umbreon ex MC 446	Umbreon ex MC
MC	447	Team Rocket's Murkrow	DBasic				Team Rocket's Murkrow MC 447	Team Rocket's Murkrow MC
MC	448	Team Rocket's Sneasel	DBasic				Team Rocket's Sneasel MC 448	Team Rocket's Sneasel MC
MC	449	Houndour	DBasic				Houndour MC 449	Houndour MC
MC	450	Houndoom	DStage 1				Houndoom MC 450	Houndoom MC
MC	451	Poochyena	DBasic				Poochyena MC 451	Poochyena MC
MC	452	Mightyena	DStage 1				Mightyena MC 452	Mightyena MC
MC	453	Sableye	DBasic				Sableye MC 453	Sableye MC
MC	454	Absol	DBasic				Absol MC 454	Absol MC
MC	455	Spiritomb	DBasic				Spiritomb MC 455	Spiritomb MC
MC	456	Darkrai ex	DBasic				Darkrai ex MC 456	Darkrai ex MC
MC	457	N's Purrloin	DBasic				N's Purrloin MC 457	N's Purrloin MC
MC	458	Marnie's Purrloin	DBasic				Marnie's Purrloin MC 458	Marnie's Purrloin MC
MC	459	Marnie's Liepard	DStage 1				Marnie's Liepard MC 459	Marnie's Liepard MC
MC	460	Venipede	DBasic				Venipede MC 460	Venipede MC
MC	461	Whirlipede	DStage 1				Whirlipede MC 461	Whirlipede MC
MC	462	Scolipede	DStage 2				Scolipede MC 462	Scolipede MC
MC	463	Marnie's Scraggy	DBasic				Marnie's Scraggy MC 463	Marnie's Scraggy MC
MC	464	Marnie's Scrafty	DStage 1				Marnie's Scrafty MC 464	Marnie's Scrafty MC
MC	465	Trubbish	DBasic				Trubbish MC 465	Trubbish MC
MC	466	Garbodor	DStage 1				Garbodor MC 466	Garbodor MC
MC	467	Zorua	DBasic				Zorua MC 467	Zorua MC
MC	468	Zoroark	DStage 1				Zoroark MC 468	Zoroark MC
MC	469	N's Zorua	DBasic				N's Zorua MC 469	N's Zorua MC
MC	470	N's Zoroark ex	DStage 1				N's Zoroark ex MC 470	N's Zoroark ex MC
MC	471	Pawniard	DBasic				Pawniard MC 471	Pawniard MC
MC	472	Bisharp	DStage 1				Bisharp MC 472	Bisharp MC
MC	473	Kingambit	DStage 2				Kingambit MC 473	Kingambit MC
MC	474	Vullaby	DBasic				Vullaby MC 474	Vullaby MC
MC	475	Mandibuzz ex	DStage 1				Mandibuzz ex MC 475	Mandibuzz ex MC
MC	476	Deino	DBasic				Deino MC 476	Deino MC
MC	477	Zweilous	DStage 1				Zweilous MC 477	Zweilous MC
MC	478	Hydreigon ex	DStage 2				Hydreigon ex MC 478	Hydreigon ex MC
MC	479	Pangoro	DStage 1				Pangoro MC 479	Pangoro MC
MC	480	Yveltal	DBasic				Yveltal MC 480	Yveltal MC
MC	481	Yveltal	DBasic				Yveltal MC 481	Yveltal MC
MC	482	Hoopa	DBasic				Hoopa MC 482	Hoopa MC
MC	483	Arven's Maschiff	DBasic				Arven's Maschiff MC 483	Arven's Maschiff MC
MC	484	Arven's Mabosstiff ex	DStage 1				Arven's Mabosstiff ex MC 484	Arven's Mabosstiff ex MC
MC	485	Bombirdier	DBasic				Bombirdier MC 485	Bombirdier MC
MC	486	Farigiraf ex	DStage 1				Farigiraf ex MC 486	Farigiraf ex MC
MC	487	Brute Bonnet	DBasic				Brute Bonnet MC 487	Brute Bonnet MC
MC	488	Okidogi ex	DBasic				Okidogi ex MC 488	Okidogi ex MC
MC	489	Fezandipiti ex	DBasic				Fezandipiti ex MC 489	Fezandipiti ex MC
MC	490	Pecharunt	DBasic				Pecharunt MC 490	Pecharunt MC
MC	491	Pecharunt ex	DBasic				Pecharunt ex MC 491	Pecharunt ex MC
MC	492	Scizor ex	MStage 1				Scizor ex MC 492	Scizor ex MC
MC	493	Skarmory	MBasic				Skarmory MC 493	Skarmory MC
MC	494	Steven's Skarmory	MBasic				Steven's Skarmory MC 494	Steven's Skarmory MC
MC	495	Mawile	MBasic				Mawile MC 495	Mawile MC
MC	496	Beldum	MBasic				Beldum MC 496	Beldum MC
MC	497	Metang	MStage 1				Metang MC 497	Metang MC
MC	498	Registeel	MBasic				Registeel MC 498	Registeel MC
MC	499	Registeel ex	MBasic				Registeel ex MC 499	Registeel ex MC
MC	500	Bronzor	MBasic				Bronzor MC 500	Bronzor MC
MC	501	Bronzong	MStage 1				Bronzong MC 501	Bronzong MC
MC	502	Dialga	MBasic				Dialga MC 502	Dialga MC
MC	503	Heatran	MBasic				Heatran MC 503	Heatran MC
MC	504	Escavalier	MStage 1				Escavalier MC 504	Escavalier MC
MC	505	Escavalier	MStage 1				Escavalier MC 505	Escavalier MC
MC	506	Klink	MBasic				Klink MC 506	Klink MC
MC	507	Klang	MStage 1				Klang MC 507	Klang MC
MC	508	Klinklang	MStage 2				Klinklang MC 508	Klinklang MC
MC	509	Galarian Stunfisk	MBasic				Galarian Stunfisk MC 509	Galarian Stunfisk MC
MC	510	Pawniard	MBasic				Pawniard MC 510	Pawniard MC
MC	511	Bisharp	MStage 1				Bisharp MC 511	Bisharp MC
MC	512	Genesect ex	MBasic				Genesect ex MC 512	Genesect ex MC
MC	513	Klefki	MBasic				Klefki MC 513	Klefki MC
MC	514	Togedemaru ex	MBasic				Togedemaru ex MC 514	Togedemaru ex MC
MC	515	Magearna	MBasic				Magearna MC 515	Magearna MC
MC	516	Meltan	MBasic				Meltan MC 516	Meltan MC
MC	517	Meltan	MBasic				Meltan MC 517	Meltan MC
MC	518	Melmetal	MStage 1				Melmetal MC 518	Melmetal MC
MC	519	Melmetal ex	MStage 1				Melmetal ex MC 519	Melmetal ex MC
MC	520	Hop's Corviknight	MStage 2				Hop's Corviknight MC 520	Hop's Corviknight MC
MC	521	Cufant	MBasic				Cufant MC 521	Cufant MC
MC	522	Copperajah	MStage 1				Copperajah MC 522	Copperajah MC
MC	523	Duraludon	MBasic				Duraludon MC 523	Duraludon MC
MC	524	Duraludon	MBasic				Duraludon MC 524	Duraludon MC
MC	525	Archaludon	MStage 1				Archaludon MC 525	Archaludon MC
MC	526	Archaludon ex	MStage 1				Archaludon ex MC 526	Archaludon ex MC
MC	527	Hop's Zacian ex	MBasic				Hop's Zacian ex MC 527	Hop's Zacian ex MC
MC	528	Tinkatink	MBasic				Tinkatink MC 528	Tinkatink MC
MC	529	Tinkatuff	MStage 1				Tinkatuff MC 529	Tinkatuff MC
MC	530	Tinkaton	MStage 2				Tinkaton MC 530	Tinkaton MC
MC	531	Varoom	MBasic				Varoom MC 531	Varoom MC
MC	532	Revavroom	MStage 1				Revavroom MC 532	Revavroom MC
MC	533	Orthworm ex	MBasic				Orthworm ex MC 533	Orthworm ex MC
MC	534	Gholdengo	MStage 1				Gholdengo MC 534	Gholdengo MC
MC	535	Gholdengo	MStage 1				Gholdengo MC 535	Gholdengo MC
MC	536	Iron Crown	MBasic				Iron Crown MC 536	Iron Crown MC
MC	537	Alolan Exeggutor ex	NStage 1				Alolan Exeggutor ex MC 537	Alolan Exeggutor ex MC
MC	538	Bagon	NBasic				Bagon MC 538	Bagon MC
MC	539	Shelgon	NStage 1				Shelgon MC 539	Shelgon MC
MC	540	Salamence ex	NStage 2				Salamence ex MC 540	Salamence ex MC
MC	541	Axew	NBasic				Axew MC 541	Axew MC
MC	542	Fraxure	NStage 1				Fraxure MC 542	Fraxure MC
MC	543	Haxorus	NStage 2				Haxorus MC 543	Haxorus MC
MC	544	Druddigon	NBasic				Druddigon MC 544	Druddigon MC
MC	545	N's Reshiram	NBasic				N's Reshiram MC 545	N's Reshiram MC
MC	546	Dreepy	NBasic				Dreepy MC 546	Dreepy MC
MC	547	Drakloak	NStage 1				Drakloak MC 547	Drakloak MC
MC	548	Dragapult ex	NStage 2				Dragapult ex MC 548	Dragapult ex MC
MC	549	Tatsugiri	NBasic				Tatsugiri MC 549	Tatsugiri MC
MC	550	Koraidon	NBasic				Koraidon MC 550	Koraidon MC
MC	551	Koraidon ex	NBasic				Koraidon ex MC 551	Koraidon ex MC
MC	552	Miraidon	NBasic				Miraidon MC 552	Miraidon MC
MC	553	Miraidon ex	NBasic				Miraidon ex MC 553	Miraidon ex MC
MC	554	Raging Bolt ex	NBasic				Raging Bolt ex MC 554	Raging Bolt ex MC
MC	555	Team Rocket's Rattata	CBasic				Team Rocket's Rattata MC 555	Team Rocket's Rattata MC
MC	556	Team Rocket's Raticate	CStage 1				Team Rocket's Raticate MC 556	Team Rocket's Raticate MC
MC	557	Spearow	CBasic				Spearow MC 557	Spearow MC
MC	558	Fearow	CStage 1				Fearow MC 558	Fearow MC
MC	559	Team Rocket's Meowth	CBasic				Team Rocket's Meowth MC 559	Team Rocket's Meowth MC
MC	560	Team Rocket's Persian ex	CStage 1				Team Rocket's Persian ex MC 560	Team Rocket's Persian ex MC
MC	561	Chansey	CBasic				Chansey MC 561	Chansey MC
MC	562	Blissey ex	CStage 1				Blissey ex MC 562	Blissey ex MC
MC	563	Tauros	CBasic				Tauros MC 563	Tauros MC
MC	564	Eevee	CBasic				Eevee MC 564	Eevee MC
MC	565	Eevee	CBasic				Eevee MC 565	Eevee MC
MC	566	Eevee ex	CBasic				Eevee ex MC 566	Eevee ex MC
MC	567	Snorlax	CBasic				Snorlax MC 567	Snorlax MC
MC	568	Snorlax	CBasic				Snorlax MC 568	Snorlax MC
MC	569	Hop's Snorlax	CBasic				Hop's Snorlax MC 569	Hop's Snorlax MC
MC	570	Sentret	CBasic				Sentret MC 570	Sentret MC
MC	571	Furret	CStage 1				Furret MC 571	Furret MC
MC	572	Hoothoot	CBasic				Hoothoot MC 572	Hoothoot MC
MC	573	Noctowl	CStage 1				Noctowl MC 573	Noctowl MC
MC	574	Dunsparce	CBasic				Dunsparce MC 574	Dunsparce MC
MC	575	Dudunsparce ex	CStage 1				Dudunsparce ex MC 575	Dudunsparce ex MC
MC	576	Larry's Dunsparce	CBasic				Larry's Dunsparce MC 576	Larry's Dunsparce MC
MC	577	Larry's Dudunsparce ex	CStage 1				Larry's Dudunsparce ex MC 577	Larry's Dudunsparce ex MC
MC	578	Miltank	CBasic				Miltank MC 578	Miltank MC
MC	579	Taillow	CBasic				Taillow MC 579	Taillow MC
MC	580	Swellow	CStage 1				Swellow MC 580	Swellow MC
MC	581	Slakoth	CBasic				Slakoth MC 581	Slakoth MC
MC	582	Vigoroth	CStage 1				Vigoroth MC 582	Vigoroth MC
MC	583	Slaking ex	CStage 2				Slaking ex MC 583	Slaking ex MC
MC	584	Skitty	CBasic				Skitty MC 584	Skitty MC
MC	585	Skitty	CBasic				Skitty MC 585	Skitty MC
MC	586	Delcatty	CStage 1				Delcatty MC 586	Delcatty MC
MC	587	Zangoose	CBasic				Zangoose MC 587	Zangoose MC
MC	588	Zangoose ex	CBasic				Zangoose ex MC 588	Zangoose ex MC
MC	589	Tropius	CBasic				Tropius MC 589	Tropius MC
MC	590	Larry's Starly	CBasic				Larry's Starly MC 590	Larry's Starly MC
MC	591	Larry's Staravia	CStage 1				Larry's Staravia MC 591	Larry's Staravia MC
MC	592	Larry's Staraptor	CStage 2				Larry's Staraptor MC 592	Larry's Staraptor MC
MC	593	Buneary	CBasic				Buneary MC 593	Buneary MC
MC	594	Lopunny	CStage 1				Lopunny MC 594	Lopunny MC
MC	595	Glameow	CBasic				Glameow MC 595	Glameow MC
MC	596	Purugly	CStage 1				Purugly MC 596	Purugly MC
MC	597	Chatot	CBasic				Chatot MC 597	Chatot MC
MC	598	Pidove	CBasic				Pidove MC 598	Pidove MC
MC	599	Tranquill	CStage 1				Tranquill MC 599	Tranquill MC
MC	600	Unfezant	CStage 2				Unfezant MC 600	Unfezant MC
MC	601	Audino	CBasic				Audino MC 601	Audino MC
MC	602	Mega Audino ex	CBasic				Mega Audino ex MC 602	Mega Audino ex MC
MC	603	Minccino	CBasic				Minccino MC 603	Minccino MC
MC	604	Cinccino	CStage 1				Cinccino MC 604	Cinccino MC
MC	605	Bouffalant ex	CBasic				Bouffalant ex MC 605	Bouffalant ex MC
MC	606	Rufflet	CBasic				Rufflet MC 606	Rufflet MC
MC	607	Braviary	CStage 1				Braviary MC 607	Braviary MC
MC	608	Larry's Rufflet	CBasic				Larry's Rufflet MC 608	Larry's Rufflet MC
MC	609	Larry's Braviary	CStage 1				Larry's Braviary MC 609	Larry's Braviary MC
MC	610	Tornadus	CBasic				Tornadus MC 610	Tornadus MC
MC	611	Furfrou	CBasic				Furfrou MC 611	Furfrou MC
MC	612	Furfrou	CBasic				Furfrou MC 612	Furfrou MC
MC	613	Hawlucha	CBasic				Hawlucha MC 613	Hawlucha MC
MC	614	Noibat	CBasic				Noibat MC 614	Noibat MC
MC	615	Noivern	CStage 1				Noivern MC 615	Noivern MC
MC	616	Stufful	CBasic				Stufful MC 616	Stufful MC
MC	617	Bewear	CStage 1				Bewear MC 617	Bewear MC
MC	618	Oranguru	CBasic				Oranguru MC 618	Oranguru MC
MC	619	Larry's Komala	CBasic				Larry's Komala MC 619	Larry's Komala MC
MC	620	Drampa	CBasic				Drampa MC 620	Drampa MC
MC	621	Drampa	CBasic				Drampa MC 621	Drampa MC
MC	622	Hop's Rookidee	CBasic				Hop's Rookidee MC 622	Hop's Rookidee MC
MC	623	Hop's Corvisquire	CStage 1				Hop's Corvisquire MC 623	Hop's Corvisquire MC
MC	624	Hop's Cramorant	CBasic				Hop's Cramorant MC 624	Hop's Cramorant MC
MC	625	Bloodmoon Ursaluna ex	CBasic				Bloodmoon Ursaluna ex MC 625	Bloodmoon Ursaluna ex MC
MC	626	Squawkabilly	CBasic				Squawkabilly MC 626	Squawkabilly MC
MC	627	Cyclizar	CBasic				Cyclizar MC 627	Cyclizar MC
MC	628	Iron Jugulis	CBasic				Iron Jugulis MC 628	Iron Jugulis MC
MC	629	Terapagos	CBasic				Terapagos MC 629	Terapagos MC
MC	630	Terapagos ex	CBasic				Terapagos ex MC 630	Terapagos ex MC
MC	631	Iron Defender	Item				Iron Defender MC 631	Iron Defender MC
MC	632	Suspicious Clock	Item				Suspicious Clock MC 632	Suspicious Clock MC
MC	633	Unfair Stamp	Item				Unfair Stamp MC 633	Unfair Stamp MC
MC	634	Super Potion	Item				Super Potion MC 634	Super Potion MC
MC	635	N's PP Up	Item				N's PP Up MC 635	N's PP Up MC
MC	636	Energy Retrieval	Item				Energy Retrieval MC 636	Energy Retrieval MC
MC	637	Energy Coin	Item				Energy Coin MC 637	Energy Coin MC
MC	638	Energy Switch	Item				Energy Switch MC 638	Energy Switch MC
MC	639	Energy Search	Item				Energy Search MC 639	Energy Search MC
MC	641	Ogre's Mask	Item				Ogre's Mask MC 641	Ogre's Mask MC
MC	642	Awakening Drum	Item				Awakening Drum MC 642	Awakening Drum MC
MC	643	Potion	Item				Potion MC 643	Potion MC
MC	644	Crushing Hammer	Item				Crushing Hammer MC 644	Crushing Hammer MC
MC	645	Deduction Kit	Item				Deduction Kit MC 645	Deduction Kit MC
MC	647	Dangerous Laser	Item				Dangerous Laser MC 647	Dangerous Laser MC
MC	648	Buddy-Buddy Poffin	Item				Buddy-Buddy Poffin MC 648	Buddy-Buddy Poffin MC
MC	649	Chill Teaser Toy	Item				Chill Teaser Toy MC 649	Chill Teaser Toy MC
MC	650	Hyper Aroma	Item				Hyper Aroma MC 650	Hyper Aroma MC
MC	651	Ultra Ball	Item				Ultra Ball MC 651	Ultra Ball MC
MC	652	Premium Power Pro	Item				Premium Power Pro MC 652	Premium Power Pro MC
MC	653	Hand Trimmer	Item				Hand Trimmer MC 653	Hand Trimmer MC
MC	654	Fight Gong	Item				Fight Gong MC 654	Fight Gong MC
MC	655	Rare Candy	Item				Rare Candy MC 655	Rare Candy MC
MC	656	Prime Catcher	Item				Prime Catcher MC 656	Prime Catcher MC
MC	657	Antique Plume Fossil	Item				Antique Plume Fossil MC 657	Antique Plume Fossil MC
