Set	No.	Code	Type	Rarity	USD	EUR	Result	Set Count	Hilfe	Type vereinfacht
CRE	198	Siebold	Supporter	Ultra Rare	$2.53	4.67€	Siebold CRE 198	118	Siebold CRE	Supporter
CRE	199	Celebi VMAX	GVMAX	Rainbow Rare	$13.18	16.01€	Celebi VMAX CRE 199	118	Celebi VMAX CRE	Pokémon
CRE	200	Blaziken VMAX	RVMAX	Rainbow Rare	$22.61	16.07€	Blaziken VMAX CRE 200	118	Blaziken VMAX CRE	Pokémon
CRE	201	Blaziken VMAX	RVMAX	Secret Rare	$350.56	204.14€	Blaziken VMAX CRE 201	118	Blaziken VMAX CRE	Pokémon
CRE	202	Ice Rider Calyrex VMAX	WVMAX	Rainbow Rare	$6.38	6.42€	Ice Rider Calyrex VMAX CRE 202	118	Ice Rider Calyrex VMAX CRE	Pokémon
CRE	203	Ice Rider Calyrex VMAX	WVMAX	Secret Rare	$41.77	49.42€	Ice Rider Calyrex VMAX CRE 203	118	Ice Rider Calyrex VMAX CRE	Pokémon
CRE	204	Shadow Rider Calyrex VMAX	PVMAX	Rainbow Rare	$7.54	9.98€	Shadow Rider Calyrex VMAX CRE 204	118	Shadow Rider Calyrex VMAX CRE	Pokémon
CRE	205	Shadow Rider Calyrex VMAX	PVMAX	Secret Rare	$63.79	78.56€	Shadow Rider Calyrex VMAX CRE 205	118	Shadow Rider Calyrex VMAX CRE	Pokémon
CRE	206	Sandaconda VMAX	FVMAX	Rainbow Rare	$6.67	5.47€	Sandaconda VMAX CRE 206	118	Sandaconda VMAX CRE	Pokémon
CRE	207	Galarian Slowking VMAX	DVMAX	Rainbow Rare	$7.40	8.44€	Galarian Slowking VMAX CRE 207	118	Galarian Slowking VMAX CRE	Pokémon
CRE	208	Metagross VMAX	MVMAX	Rainbow Rare	$10.69	11.85€	Metagross VMAX CRE 208	118	Metagross VMAX CRE	Pokémon
CRE	209	Tornadus VMAX	CVMAX	Rainbow Rare	$6.56	6.19€	Tornadus VMAX CRE 209	118	Tornadus VMAX CRE	Pokémon
CRE	210	Agatha	Supporter	Rainbow Rare	$4.41	6.19€	Agatha CRE 210	118	Agatha CRE	Supporter
CRE	211	Avery	Supporter	Rainbow Rare	$5.61	7.36€	Avery CRE 211	118	Avery CRE	Supporter
CRE	212	Brawly	Supporter	Rainbow Rare	$4.34	5.73€	Brawly CRE 212	118	Brawly CRE	Supporter
CRE	213	Caitlin	Supporter	Rainbow Rare	$9.86	9.21€	Caitlin CRE 213	118	Caitlin CRE	Supporter
CRE	214	Doctor	Supporter	Rainbow Rare	$6.16	7.23€	Doctor CRE 214	118	Doctor CRE	Supporter
CRE	215	Flannery	Supporter	Rainbow Rare	$5.03	5.98€	Flannery CRE 215	118	Flannery CRE	Supporter
CRE	216	Karen's Conviction	Supporter	Rainbow Rare	$4.97	6.41€	Karen's Conviction CRE 216	118	Karen's Conviction CRE	Supporter
CRE	217	Klara	Supporter	Rainbow Rare	$6.36	6.60€	Klara CRE 217	118	Klara CRE	Supporter
CRE	218	Melony	Supporter	Rainbow Rare	$9.04	8.41€	Melony CRE 218	118	Melony CRE	Supporter
CRE	219	Peonia	Supporter	Rainbow Rare	$6.35	12.36€	Peonia CRE 219	118	Peonia CRE	Supporter
CRE	220	Peony	Supporter	Rainbow Rare	$4.20	6.63€	Peony CRE 220	118	Peony CRE	Supporter
CRE	221	Siebold	Supporter	Rainbow Rare	$4.60	5.07€	Siebold CRE 221	118	Siebold CRE	Supporter
CRE	222	Electrode	LStage 1	Secret Rare	$9.54	11.09€	Electrode CRE 222	118	Electrode CRE	Pokémon
CRE	223	Bronzong	MStage 1	Secret Rare	$5.13	8.97€	Bronzong CRE 223	118	Bronzong CRE	Pokémon
CRE	224	Snorlax	CBasic	Secret Rare	$82.72	62.02€	Snorlax CRE 224	118	Snorlax CRE	Pokémon
CRE	225	Echoing Horn	Item	Secret Rare	$2.34	5.13€	Echoing Horn CRE 225	118	Echoing Horn CRE	Item
CRE	226	Fan of Waves	Item	Secret Rare	$2.45	4.88€	Fan of Waves CRE 226	118	Fan of Waves CRE	Item
CRE	227	Fog Crystal	Item	Secret Rare	$4.04	5.60€	Fog Crystal CRE 227	118	Fog Crystal CRE	Item
CRE	228	Rugged Helmet	Tool	Secret Rare	$2.51	5.03€	Rugged Helmet CRE 228	118	Rugged Helmet CRE	Tool
CRE	229	Urn of Vitality	Item	Secret Rare	$2.32	5.01€	Urn of Vitality CRE 229	118	Urn of Vitality CRE	Item
CRE	230	Welcoming Lantern	Item	Secret Rare	$2.53	5.04€	Welcoming Lantern CRE 230	118	Welcoming Lantern CRE	Item
CRE	231	Water Energy	Basic Energy	Secret Rare	$10.17	10.86€	Water Energy CRE 231	118	Water Energy CRE	Basic Energy
CRE	232	Psychic Energy	Basic Energy	Secret Rare	$11.29	11.18€	Psychic Energy CRE 232	118	Psychic Energy CRE	Basic Energy
CRE	233	Fighting Energy	Basic Energy	Secret Rare	$7.84	7.29€	Fighting Energy CRE 233	118	Fighting Energy CRE	Basic Energy
EVS	1	Pinsir	GBasic	Rare	$0.11	0.06€	Pinsir EVS 1	119	Pinsir EVS	Pokémon
EVS	2	Hoppip	GBasic	Common	$0.06	0.04€	Hoppip EVS 2	119	Hoppip EVS	Pokémon
EVS	3	Skiploom	GStage 1	Uncommon	$0.11	0.04€	Skiploom EVS 3	119	Skiploom EVS	Pokémon
EVS	4	Jumpluff	GStage 2	Holo Rare	$0.19	0.21€	Jumpluff EVS 4	119	Jumpluff EVS	Pokémon
EVS	5	Seedot	GBasic	Common	$0.07	0.03€	Seedot EVS 5	119	Seedot EVS	Pokémon
EVS	6	Tropius	GBasic	Rare	$0.11	0.06€	Tropius EVS 6	119	Tropius EVS	Pokémon
EVS	7	Leafeon V	GBasic	Double Rare	$1.96	1.87€	Leafeon V EVS 7	119	Leafeon V EVS	Pokémon
EVS	8	Leafeon VMAX	GVMAX	Triple Rare	$5.71	5.17€	Leafeon VMAX EVS 8	119	Leafeon VMAX EVS	Pokémon
EVS	9	Petilil	GBasic	Common	$0.05	0.03€	Petilil EVS 9	119	Petilil EVS	Pokémon
EVS	10	Lilligant	GStage 1	Rare	$0.13	0.06€	Lilligant EVS 10	119	Lilligant EVS	Pokémon
EVS	11	Dwebble	GBasic	Common	$0.05	0.03€	Dwebble EVS 11	119	Dwebble EVS	Pokémon
EVS	12	Crustle	GStage 1	Uncommon	$0.09	0.05€	Crustle EVS 12	119	Crustle EVS	Pokémon
EVS	13	Trevenant V	GBasic	Double Rare	$0.58	0.84€	Trevenant V EVS 13	119	Trevenant V EVS	Pokémon
EVS	14	Trevenant VMAX	GVMAX	Triple Rare	$1.53	1.68€	Trevenant VMAX EVS 14	119	Trevenant VMAX EVS	Pokémon
EVS	15	Gossifleur	GBasic	Common	$0.07	0.03€	Gossifleur EVS 15	119	Gossifleur EVS	Pokémon
EVS	16	Eldegoss	GStage 1	Holo Rare	$0.25	0.27€	Eldegoss EVS 16	119	Eldegoss EVS	Pokémon
EVS	17	Applin	GBasic	Common	$0.07	0.04€	Applin EVS 17	119	Applin EVS	Pokémon
EVS	18	Flareon VMAX	RVMAX	Triple Rare	$7.10	6.75€	Flareon VMAX EVS 18	119	Flareon VMAX EVS	Pokémon
EVS	19	Entei	RBasic	Holo Rare	$0.23	0.51€	Entei EVS 19	119	Entei EVS	Pokémon
EVS	20	Victini	RBasic	Holo Rare	$0.24	0.19€	Victini EVS 20	119	Victini EVS	Pokémon
EVS	21	Volcarona V	RBasic	Double Rare	$0.72	1.10€	Volcarona V EVS 21	119	Volcarona V EVS	Pokémon
EVS	22	Litleo	RBasic	Common	$0.04	0.03€	Litleo EVS 22	119	Litleo EVS	Pokémon
EVS	23	Pyroar	RStage 1	Uncommon	$0.09	0.04€	Pyroar EVS 23	119	Pyroar EVS	Pokémon
EVS	24	Psyduck	WBasic	Common	$0.12	0.07€	Psyduck EVS 24	119	Psyduck EVS	Pokémon
EVS	25	Golduck	WStage 1	Uncommon	$0.08	0.05€	Golduck EVS 25	119	Golduck EVS	Pokémon
EVS	26	Tentacool	WBasic	Common	$0.04	0.03€	Tentacool EVS 26	119	Tentacool EVS	Pokémon
EVS	27	Tentacruel	WStage 1	Uncommon	$0.09	0.05€	Tentacruel EVS 27	119	Tentacruel EVS	Pokémon
EVS	28	Gyarados V	WBasic	Double Rare	$1.27	1.99€	Gyarados V EVS 28	119	Gyarados V EVS	Pokémon
EVS	29	Gyarados VMAX	WVMAX	Triple Rare	$5.07	4.44€	Gyarados VMAX EVS 29	119	Gyarados VMAX EVS	Pokémon
EVS	30	Vaporeon VMAX	WVMAX	Triple Rare	$5.61	5.49€	Vaporeon VMAX EVS 30	119	Vaporeon VMAX EVS	Pokémon
EVS	31	Suicune V	WBasic	Double Rare	$1.09	2.05€	Suicune V EVS 31	119	Suicune V EVS	Pokémon
EVS	32	Lotad	WBasic	Common	$0.06	0.04€	Lotad EVS 32	119	Lotad EVS	Pokémon
EVS	33	Lombre	WStage 1	Uncommon	$0.08	0.05€	Lombre EVS 33	119	Lombre EVS	Pokémon
EVS	34	Ludicolo	WStage 2	Holo Rare	$0.23	0.23€	Ludicolo EVS 34	119	Ludicolo EVS	Pokémon
EVS	35	Carvanha	WBasic	Common	$0.04	0.03€	Carvanha EVS 35	119	Carvanha EVS	Pokémon
EVS	36	Sharpedo	WStage 1	Rare	$0.10	0.06€	Sharpedo EVS 36	119	Sharpedo EVS	Pokémon
EVS	37	Feebas	WBasic	Common	$0.04	0.03€	Feebas EVS 37	119	Feebas EVS	Pokémon
EVS	38	Milotic	WStage 1	Rare	$0.15	0.07€	Milotic EVS 38	119	Milotic EVS	Pokémon
EVS	39	Luvdisc	WBasic	Common	$0.06	0.04€	Luvdisc EVS 39	119	Luvdisc EVS	Pokémon
EVS	40	Glaceon V	WBasic	Double Rare	$1.63	1.38€	Glaceon V EVS 40	119	Glaceon V EVS	Pokémon
EVS	41	Glaceon VMAX	WVMAX	Triple Rare	$4.64	3.61€	Glaceon VMAX EVS 41	119	Glaceon VMAX EVS	Pokémon
EVS	42	Tympole	WBasic	Common	$0.04	0.02€	Tympole EVS 42	119	Tympole EVS	Pokémon
EVS	43	Cryogonal	WBasic	Common	$0.05	0.03€	Cryogonal EVS 43	119	Cryogonal EVS	Pokémon
EVS	44	Bergmite	WBasic	Common	$0.05	0.03€	Bergmite EVS 44	119	Bergmite EVS	Pokémon
EVS	45	Avalugg	WStage 1	Uncommon	$0.07	0.05€	Avalugg EVS 45	119	Avalugg EVS	Pokémon
EVS	46	Wishiwashi	WBasic	Rare	$0.12	0.04€	Wishiwashi EVS 46	119	Wishiwashi EVS	Pokémon
EVS	47	Eiscue	WBasic	Uncommon	$0.09	0.03€	Eiscue EVS 47	119	Eiscue EVS	Pokémon
EVS	48	Arctovish V	WBasic	Double Rare	$0.72	1.10€	Arctovish V EVS 48	119	Arctovish V EVS	Pokémon
EVS	49	Pikachu	LBasic	Common	$0.16	0.05€	Pikachu EVS 49	119	Pikachu EVS	Pokémon
EVS	50	Raichu	LStage 1	Holo Rare	$0.29	0.37€	Raichu EVS 50	119	Raichu EVS	Pokémon
EVS	51	Jolteon VMAX	LVMAX	Triple Rare	$5.10	5.05€	Jolteon VMAX EVS 51	119	Jolteon VMAX EVS	Pokémon
EVS	52	Chinchou	LBasic	Common	$0.07	0.04€	Chinchou EVS 52	119	Chinchou EVS	Pokémon
EVS	53	Lanturn	LStage 1	Uncommon	$0.05	0.04€	Lanturn EVS 53	119	Lanturn EVS	Pokémon
EVS	54	Mareep	LBasic	Common	$0.08	0.03€	Mareep EVS 54	119	Mareep EVS	Pokémon
EVS	55	Flaaffy	LStage 1	Uncommon	$0.14	0.09€	Flaaffy EVS 55	119	Flaaffy EVS	Pokémon
EVS	56	Ampharos	LStage 2	Rare	$0.16	0.13€	Ampharos EVS 56	119	Ampharos EVS	Pokémon
EVS	57	Emolga	LBasic	Common	$0.07	0.03€	Emolga EVS 57	119	Emolga EVS	Pokémon
EVS	58	Dracozolt V	LBasic	Double Rare	$0.71	1.50€	Dracozolt V EVS 58	119	Dracozolt V EVS	Pokémon
EVS	59	Dracozolt VMAX	LVMAX	Triple Rare	$1.67	1.60€	Dracozolt VMAX EVS 59	119	Dracozolt VMAX EVS	Pokémon
EVS	60	Regieleki	LBasic	Holo Rare	$0.18	0.26€	Regieleki EVS 60	119	Regieleki EVS	Pokémon
EVS	61	Drowzee	PBasic	Common	$0.07	0.03€	Drowzee EVS 61	119	Drowzee EVS	Pokémon
EVS	62	Hypno	PStage 1	Uncommon	$0.09	0.06€	Hypno EVS 62	119	Hypno EVS	Pokémon
EVS	63	Galarian Articuno	PBasic	Holo Rare	$0.28	0.36€	Galarian Articuno EVS 63	119	Galarian Articuno EVS	Pokémon
EVS	64	Espeon V	PBasic	Double Rare	$1.52	1.68€	Espeon V EVS 64	119	Espeon V EVS	Pokémon
EVS	65	Espeon VMAX	PVMAX	Triple Rare	$9.10	8.25€	Espeon VMAX EVS 65	119	Espeon VMAX EVS	Pokémon
EVS	66	Wobbuffet	PBasic	Common	$0.09	0.05€	Wobbuffet EVS 66	119	Wobbuffet EVS	Pokémon
EVS	67	Sableye	PBasic	Common	$0.07	0.03€	Sableye EVS 67	119	Sableye EVS	Pokémon
EVS	68	Woobat	PBasic	Common	$0.08	0.04€	Woobat EVS 68	119	Woobat EVS	Pokémon
EVS	69	Swoobat	PStage 1	Uncommon	$0.04	0.03€	Swoobat EVS 69	119	Swoobat EVS	Pokémon
EVS	70	Golurk V	PBasic	Double Rare	$0.63	0.77€	Golurk V EVS 70	119	Golurk V EVS	Pokémon
EVS	71	Flabébé	PBasic	Common	$0.04	0.03€	Flabébé EVS 71	119	Flabébé EVS	Pokémon
EVS	72	Floette	PStage 1	Uncommon	$0.06	0.05€	Floette EVS 72	119	Floette EVS	Pokémon
EVS	73	Florges	PStage 2	Holo Rare	$0.16	0.22€	Florges EVS 73	119	Florges EVS	Pokémon
EVS	74	Sylveon V	PBasic	Double Rare	$3.15	2.35€	Sylveon V EVS 74	119	Sylveon V EVS	Pokémon
EVS	75	Sylveon VMAX	PVMAX	Triple Rare	$8.98	7.11€	Sylveon VMAX EVS 75	119	Sylveon VMAX EVS	Pokémon
EVS	76	Pumpkaboo	PBasic	Common	$0.10	0.04€	Pumpkaboo EVS 76	119	Pumpkaboo EVS	Pokémon
EVS	77	Gourgeist	PStage 1	Rare	$0.08	0.03€	Gourgeist EVS 77	119	Gourgeist EVS	Pokémon
EVS	78	Cutiefly	PBasic	Common	$0.07	0.03€	Cutiefly EVS 78	119	Cutiefly EVS	Pokémon
EVS	79	Ribombee	PStage 1	Uncommon	$0.08	0.07€	Ribombee EVS 79	119	Ribombee EVS	Pokémon
EVS	80	Marshadow	PBasic	Holo Rare	$0.20	0.32€	Marshadow EVS 80	119	Marshadow EVS	Pokémon
EVS	81	Hitmonchan	FBasic	Common	$0.07	0.03€	Hitmonchan EVS 81	119	Hitmonchan EVS	Pokémon
EVS	82	Galarian Zapdos	FBasic	Holo Rare	$0.21	0.35€	Galarian Zapdos EVS 82	119	Galarian Zapdos EVS	Pokémon
EVS	83	Medicham V	FBasic	Double Rare	$0.67	1.00€	Medicham V EVS 83	119	Medicham V EVS	Pokémon
EVS	84	Hippopotas	FBasic	Common	$0.02	0.03€	Hippopotas EVS 84	119	Hippopotas EVS	Pokémon
EVS	85	Hippowdon	FStage 1	Uncommon	$0.05	0.04€	Hippowdon EVS 85	119	Hippowdon EVS	Pokémon
EVS	86	Roggenrola	FBasic	Common	$0.06	0.04€	Roggenrola EVS 86	119	Roggenrola EVS	Pokémon
EVS	87	Boldore	FStage 1	Uncommon	$0.07	0.04€	Boldore EVS 87	119	Boldore EVS	Pokémon
EVS	88	Gigalith	FStage 2	Rare	$0.13	0.10€	Gigalith EVS 88	119	Gigalith EVS	Pokémon
EVS	89	Palpitoad	FStage 1	Uncommon	$0.06	0.04€	Palpitoad EVS 89	119	Palpitoad EVS	Pokémon
EVS	90	Seismitoad	FStage 2	Rare	$0.12	0.08€	Seismitoad EVS 90	119	Seismitoad EVS	Pokémon
EVS	91	Lycanroc V	FBasic	Double Rare	$0.59	0.72€	Lycanroc V EVS 91	119	Lycanroc V EVS	Pokémon
EVS	92	Lycanroc VMAX	FVMAX	Triple Rare	$1.72	1.82€	Lycanroc VMAX EVS 92	119	Lycanroc VMAX EVS	Pokémon
EVS	93	Galarian Moltres	DBasic	Holo Rare	$0.30	0.41€	Galarian Moltres EVS 93	119	Galarian Moltres EVS	Pokémon
EVS	94	Umbreon V	DBasic	Double Rare	$3.32	5.33€	Umbreon V EVS 94	119	Umbreon V EVS	Pokémon
EVS	95	Umbreon VMAX	DVMAX	Triple Rare	$14.76	11.79€	Umbreon VMAX EVS 95	119	Umbreon VMAX EVS	Pokémon
EVS	96	Nuzleaf	DStage 1	Uncommon	$0.05	0.02€	Nuzleaf EVS 96	119	Nuzleaf EVS	Pokémon
EVS	97	Shiftry	DStage 2	Rare	$0.09	0.06€	Shiftry EVS 97	119	Shiftry EVS	Pokémon
EVS	98	Scraggy	DBasic	Common	$0.06	0.03€	Scraggy EVS 98	119	Scraggy EVS	Pokémon
EVS	99	Scrafty	DStage 1	Uncommon	$0.07	0.04€	Scrafty EVS 99	119	Scrafty EVS	Pokémon
EVS	100	Garbodor V	DBasic	Double Rare	$0.62	0.76€	Garbodor V EVS 100	119	Garbodor V EVS	Pokémon
EVS	101	Garbodor VMAX	DVMAX	Triple Rare	$1.59	1.39€	Garbodor VMAX EVS 101	119	Garbodor VMAX EVS	Pokémon
EVS	102	Zorua	DBasic	Common	$0.08	0.04€	Zorua EVS 102	119	Zorua EVS	Pokémon
EVS	103	Zoroark	DStage 1	Holo Rare	$0.22	0.30€	Zoroark EVS 103	119	Zoroark EVS	Pokémon
EVS	104	Nickit	DBasic	Common	$0.06	0.04€	Nickit EVS 104	119	Nickit EVS	Pokémon
EVS	105	Thievul	DStage 1	Rare	$0.14	0.04€	Thievul EVS 105	119	Thievul EVS	Pokémon
EVS	106	Altaria	NStage 1	Rare	$0.11	0.08€	Altaria EVS 106	119	Altaria EVS	Pokémon
EVS	107	Bagon	NBasic	Common	$0.09	0.06€	Bagon EVS 107	119	Bagon EVS	Pokémon
EVS	108	Shelgon	NStage 1	Uncommon	$0.11	0.05€	Shelgon EVS 108	119	Shelgon EVS	Pokémon
EVS	109	Salamence	NStage 2	Holo Rare	$0.37	0.35€	Salamence EVS 109	119	Salamence EVS	Pokémon
EVS	110	Rayquaza V	NBasic	Double Rare	$0.87	2.26€	Rayquaza V EVS 110	119	Rayquaza V EVS	Pokémon
EVS	111	Rayquaza VMAX	NVMAX	Triple Rare	$5.80	4.65€	Rayquaza VMAX EVS 111	119	Rayquaza VMAX EVS	Pokémon
EVS	112	Dialga	NBasic	Holo Rare	$0.21	0.66€	Dialga EVS 112	119	Dialga EVS	Pokémon
EVS	113	Deino	NBasic	Common	$0.06	0.04€	Deino EVS 113	119	Deino EVS	Pokémon
EVS	114	Zweilous	NStage 1	Uncommon	$0.07	0.03€	Zweilous EVS 114	119	Zweilous EVS	Pokémon
EVS	115	Hydreigon	NStage 2	Holo Rare	$0.24	0.24€	Hydreigon EVS 115	119	Hydreigon EVS	Pokémon
EVS	116	Kyurem	NBasic	Holo Rare	$0.20	0.38€	Kyurem EVS 116	119	Kyurem EVS	Pokémon
EVS	117	Noivern V	NBasic	Double Rare	$0.65	0.97€	Noivern V EVS 117	119	Noivern V EVS	Pokémon
EVS	118	Zygarde	NBasic	Holo Rare	$0.19	0.18€	Zygarde EVS 118	119	Zygarde EVS	Pokémon
EVS	119	Drampa	NBasic	Rare	$0.15	0.07€	Drampa EVS 119	119	Drampa EVS	Pokémon
EVS	120	Flapple	NStage 1	Rare	$0.15	0.09€	Flapple EVS 120	119	Flapple EVS	Pokémon
EVS	121	Appletun	NStage 1	Rare	$0.13	0.07€	Appletun EVS 121	119	Appletun EVS	Pokémon
EVS	122	Duraludon V	NBasic	Double Rare	$0.51	1.10€	Duraludon V EVS 122	119	Duraludon V EVS	Pokémon
EVS	123	Duraludon VMAX	NVMAX	Triple Rare	$1.27	1.23€	Duraludon VMAX EVS 123	119	Duraludon VMAX EVS	Pokémon
EVS	124	Regidrago	NBasic	Holo Rare	$0.19	0.23€	Regidrago EVS 124	119	Regidrago EVS	Pokémon
EVS	125	Eevee	CBasic	Common	$0.19	0.08€	Eevee EVS 125	119	Eevee EVS	Pokémon
EVS	126	Teddiursa	CBasic	Common	$0.09	0.03€	Teddiursa EVS 126	119	Teddiursa EVS	Pokémon
EVS	127	Ursaring	CStage 1	Uncommon	$0.11	0.09€	Ursaring EVS 127	119	Ursaring EVS	Pokémon
EVS	128	Smeargle	CBasic	Rare	$0.14	0.05€	Smeargle EVS 128	119	Smeargle EVS	Pokémon
EVS	129	Slakoth	CBasic	Common	$0.04	0.03€	Slakoth EVS 129	119	Slakoth EVS	Pokémon
EVS	130	Vigoroth	CStage 1	Uncommon	$0.05	0.05€	Vigoroth EVS 130	119	Vigoroth EVS	Pokémon
EVS	131	Slaking	CStage 2	Holo Rare	$0.14	0.21€	Slaking EVS 131	119	Slaking EVS	Pokémon
EVS	132	Swablu	CBasic	Common	$0.08	0.03€	Swablu EVS 132	119	Swablu EVS	Pokémon
EVS	133	Lillipup	CBasic	Common	$0.07	0.03€	Lillipup EVS 133	119	Lillipup EVS	Pokémon
EVS	134	Herdier	CStage 1	Uncommon	$0.05	0.04€	Herdier EVS 134	119	Herdier EVS	Pokémon
EVS	135	Stoutland	CStage 2	Rare	$0.10	0.03€	Stoutland EVS 135	119	Stoutland EVS	Pokémon
EVS	136	Rufflet	CBasic	Common	$0.05	0.03€	Rufflet EVS 136	119	Rufflet EVS	Pokémon
EVS	137	Braviary	CStage 1	Uncommon	$0.05	0.04€	Braviary EVS 137	119	Braviary EVS	Pokémon
EVS	138	Fletchling	CBasic	Common	$0.04	0.03€	Fletchling EVS 138	119	Fletchling EVS	Pokémon
EVS	139	Fletchinder	CStage 1	Uncommon	$0.06	0.04€	Fletchinder EVS 139	119	Fletchinder EVS	Pokémon
EVS	140	Talonflame	CStage 2	Rare	$0.16	0.06€	Talonflame EVS 140	119	Talonflame EVS	Pokémon
EVS	141	Aroma Lady	Supporter	Uncommon	$0.06	0.05€	Aroma Lady EVS 141	119	Aroma Lady EVS	Supporter
EVS	142	Boost Shake	Item	Uncommon	$0.09	0.03€	Boost Shake EVS 142	119	Boost Shake EVS	Item
EVS	143	Copycat	Supporter	Uncommon	$0.06	0.05€	Copycat EVS 143	119	Copycat EVS	Supporter
EVS	144	Crystal Cave	Stadium	Uncommon	$0.10	0.05€	Crystal Cave EVS 144	119	Crystal Cave EVS	Stadium
EVS	145	Digging Gloves	Tool	Uncommon	$0.04	0.05€	Digging Gloves EVS 145	119	Digging Gloves EVS	Tool
EVS	146	Dream Ball	Item	Uncommon	$0.13	0.05€	Dream Ball EVS 146	119	Dream Ball EVS	Item
EVS	147	Elemental Badge	Tool	Uncommon	$0.05	0.03€	Elemental Badge EVS 147	119	Elemental Badge EVS	Tool
EVS	148	Full Face Guard	Tool	Uncommon	$0.04	0.03€	Full Face Guard EVS 148	119	Full Face Guard EVS	Tool
EVS	149	Gordie	Supporter	Uncommon	$0.05	0.05€	Gordie EVS 149	119	Gordie EVS	Supporter
EVS	150	Lucky Ice Pop	Item	Uncommon	$0.09	0.06€	Lucky Ice Pop EVS 150	119	Lucky Ice Pop EVS	Item
EVS	151	Moon & Sun Badge	Tool	Uncommon	$0.05	0.04€	Moon & Sun Badge EVS 151	119	Moon & Sun Badge EVS	Tool
EVS	152	Raihan	Supporter	Uncommon	$0.11	0.08€	Raihan EVS 152	119	Raihan EVS	Supporter
EVS	153	Rapid Strike Scroll of the Flying Dragon	Tool	Uncommon	$0.04	0.04€	Rapid Strike Scroll of the Flying Dragon EVS 153	119	Rapid Strike Scroll of the Flying Dragon EVS	Tool
EVS	154	Rescue Carrier	Item	Uncommon	$0.07	0.03€	Rescue Carrier EVS 154	119	Rescue Carrier EVS	Item
EVS	155	Ribbon Badge	Tool	Uncommon	$0.04	0.06€	Ribbon Badge EVS 155	119	Ribbon Badge EVS	Tool
EVS	156	Rubber Gloves	Tool	Uncommon	$0.06	0.04€	Rubber Gloves EVS 156	119	Rubber Gloves EVS	Tool
EVS	157	Shopping Center	Stadium	Uncommon	$0.05	0.05€	Shopping Center EVS 157	119	Shopping Center EVS	Stadium
EVS	158	Single Strike Scroll of the Fanged Dragon	Tool	Uncommon	$0.04	0.05€	Single Strike Scroll of the Fanged Dragon EVS 158	119	Single Strike Scroll of the Fanged Dragon EVS	Tool
EVS	159	Snow Leaf Badge	Tool	Uncommon	$0.05	0.04€	Snow Leaf Badge EVS 159	119	Snow Leaf Badge EVS	Tool
EVS	160	Spirit Mask	Tool	Uncommon	$0.05	0.05€	Spirit Mask EVS 160	119	Spirit Mask EVS	Tool
EVS	161	Stormy Mountains	Stadium	Uncommon	$0.09	0.06€	Stormy Mountains EVS 161	119	Stormy Mountains EVS	Stadium
EVS	162	Switching Cups	Item	Uncommon	$0.06	0.05€	Switching Cups EVS 162	119	Switching Cups EVS	Item
EVS	163	Toy Catcher	Item	Uncommon	$0.04	0.03€	Toy Catcher EVS 163	119	Toy Catcher EVS	Item
EVS	164	Zinnia's Resolve	Supporter	Uncommon	$0.08	0.04€	Zinnia's Resolve EVS 164	119	Zinnia's Resolve EVS	Supporter
EVS	165	Treasure Energy	Special Energy	Uncommon	$0.09	0.03€	Treasure Energy EVS 165	119	Treasure Energy EVS	Special Energy
EVS	166	Leafeon V	GBasic	Ultra Rare	$13.25	16.23€	Leafeon V EVS 166	119	Leafeon V EVS	Pokémon
EVS	167	Leafeon V	GBasic	Ultra Rare	$102.50	87.87€	Leafeon V EVS 167	119	Leafeon V EVS	Pokémon
EVS	168	Trevenant V	GBasic	Ultra Rare	$2.28	3.62€	Trevenant V EVS 168	119	Trevenant V EVS	Pokémon
EVS	169	Flareon V	RBasic	Ultra Rare	$13.09	20.48€	Flareon V EVS 169	119	Flareon V EVS	Pokémon
EVS	170	Volcarona V	RBasic	Ultra Rare	$4.12	3.82€	Volcarona V EVS 170	119	Volcarona V EVS	Pokémon
EVS	171	Gyarados V	WBasic	Ultra Rare	$8.67	10.08€	Gyarados V EVS 171	119	Gyarados V EVS	Pokémon
EVS	172	Vaporeon V	WBasic	Ultra Rare	$14.41	21.99€	Vaporeon V EVS 172	119	Vaporeon V EVS	Pokémon
EVS	173	Suicune V	WBasic	Ultra Rare	$5.33	9.32€	Suicune V EVS 173	119	Suicune V EVS	Pokémon
EVS	174	Glaceon V	WBasic	Ultra Rare	$15.84	17.09€	Glaceon V EVS 174	119	Glaceon V EVS	Pokémon
EVS	175	Glaceon V	WBasic	Ultra Rare	$110.42	120.84€	Glaceon V EVS 175	119	Glaceon V EVS	Pokémon
EVS	176	Arctovish V	WBasic	Ultra Rare	$1.95	3.43€	Arctovish V EVS 176	119	Arctovish V EVS	Pokémon
EVS	177	Jolteon V	LBasic	Ultra Rare	$15.10	17.95€	Jolteon V EVS 177	119	Jolteon V EVS	Pokémon
EVS	178	Dracozolt V	LBasic	Ultra Rare	$1.90	3.16€	Dracozolt V EVS 178	119	Dracozolt V EVS	Pokémon
EVS	179	Espeon V	PBasic	Ultra Rare	$14.52	21.34€	Espeon V EVS 179	119	Espeon V EVS	Pokémon
EVS	180	Espeon V	PBasic	Ultra Rare	$131.54	118.85€	Espeon V EVS 180	119	Espeon V EVS	Pokémon
EVS	181	Golurk V	PBasic	Ultra Rare	$3.26	4.72€	Golurk V EVS 181	119	Golurk V EVS	Pokémon
